method,period_ms,lines,seed,epochs,defective_region_stratum,images,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
EDF-Dynamic-Reservation,100,4,101,1000,1,1520,0.36656785122025504,0.5267094766667229,0.18421052631578946
EDF-Dynamic-Reservation,100,4,101,1000,3-4,1128,0.48313788413557623,0.635404857243493,0.0070921985815602835
EDF-Dynamic-Reservation,100,4,101,1000,2,1352,0.4329050082399736,0.5921243809186669,0.07100591715976332
EDF-Dynamic-Reservation,100,4,202,1000,3-4,1128,0.4923399522238094,0.6162006267948446,0.02127659574468085
EDF-Dynamic-Reservation,100,4,202,1000,2,1352,0.43225675202683256,0.5611087855232708,0.08284023668639054
EDF-Dynamic-Reservation,100,4,202,1000,1,1520,0.3677029251777752,0.5140701263218255,0.2
EDF-Dynamic-Reservation,100,4,303,1000,2,1352,0.4366796805345218,0.6059404762369832,0.0650887573964497
EDF-Dynamic-Reservation,100,4,303,1000,3-4,1128,0.4852679090252468,0.6192157812339312,0.014184397163120567
EDF-Dynamic-Reservation,100,4,303,1000,1,1520,0.3728674842003089,0.5463693859308856,0.18947368421052632
EDF-Dynamic-Reservation,100,4,404,1000,3-4,1128,0.4737268674680176,0.6150080585762413,0.03546099290780142
EDF-Dynamic-Reservation,100,4,404,1000,2,1352,0.44267771204366,0.6129407794482277,0.0650887573964497
EDF-Dynamic-Reservation,100,4,404,1000,1,1520,0.35835621449433547,0.4813607002512944,0.22105263157894736
EDF-Dynamic-Reservation,100,4,505,1000,1,1520,0.3578288304889808,0.5105702190815105,0.21052631578947367
EDF-Dynamic-Reservation,100,4,505,1000,3-4,1128,0.4914442969845507,0.6450874916501788,0.014184397163120567
EDF-Dynamic-Reservation,100,4,505,1000,2,1352,0.4305166182930653,0.5917421364162114,0.07100591715976332
EDF-Dynamic-Reservation,100,4,606,1000,2,1352,0.4252969365878987,0.613374410593702,0.08875739644970414
EDF-Dynamic-Reservation,100,4,606,1000,1,1520,0.37057367801433155,0.5486151822306174,0.18947368421052632
EDF-Dynamic-Reservation,100,4,606,1000,3-4,1128,0.47013542570427114,0.5998999182328685,0.028368794326241134
EDF-Dynamic-Reservation,100,4,707,1000,3-4,1128,0.4931356446393333,0.6173611000144359,0.0070921985815602835
EDF-Dynamic-Reservation,100,4,707,1000,1,1520,0.3663987046360167,0.5208884691278903,0.20526315789473684
EDF-Dynamic-Reservation,100,4,707,1000,2,1352,0.43560188661316496,0.5864011184257777,0.05917159763313609
EDF-Dynamic-Reservation,100,4,808,1000,3-4,1128,0.4693117973204342,0.5813987219088521,0.028368794326241134
EDF-Dynamic-Reservation,100,4,808,1000,1,1520,0.3592848743915962,0.5011377396994586,0.21578947368421053
EDF-Dynamic-Reservation,100,4,808,1000,2,1352,0.43224188889102777,0.6029717707025817,0.0650887573964497
EDF-Dynamic-Reservation,100,4,909,1000,1,1520,0.36710550595484176,0.5084863305955172,0.1736842105263158
EDF-Dynamic-Reservation,100,4,909,1000,2,1352,0.42788959069921934,0.5851144614935242,0.07692307692307693
EDF-Dynamic-Reservation,100,4,909,1000,3-4,1128,0.4749266890695539,0.600855939480031,0.014184397163120567
EDF-Dynamic-Reservation,100,4,1010,1000,1,1520,0.37638358844530295,0.5411957566660482,0.2
EDF-Dynamic-Reservation,100,4,1010,1000,3-4,1128,0.48563244569466346,0.5775825582391072,0.02127659574468085
EDF-Dynamic-Reservation,100,4,1010,1000,2,1352,0.4438087351225919,0.6278178136155371,0.05325443786982249
EDF-Dynamic-Reservation,100,6,101,1000,1,2280,0.25238714996089073,0.3635198084090871,0.44912280701754387
EDF-Dynamic-Reservation,100,6,101,1000,3-4,1692,0.31783872691293247,0.4043061313876389,0.3404255319148936
EDF-Dynamic-Reservation,100,6,101,1000,2,2028,0.28916681000535993,0.38788210802233647,0.3826429980276134
EDF-Dynamic-Reservation,100,6,202,1000,3-4,1692,0.32377527600007006,0.40482009523883666,0.34988179669030733
EDF-Dynamic-Reservation,100,6,202,1000,2,2028,0.2867425355863999,0.3886169720766184,0.38461538461538464
EDF-Dynamic-Reservation,100,6,202,1000,1,2280,0.24668572909041436,0.3530944068720872,0.4666666666666667
EDF-Dynamic-Reservation,100,6,303,1000,2,2028,0.28992079181548897,0.3990522419852113,0.3826429980276134
EDF-Dynamic-Reservation,100,6,303,1000,3-4,1692,0.32686754810509533,0.41137302906545875,0.3404255319148936
EDF-Dynamic-Reservation,100,6,303,1000,1,2280,0.24651741502104574,0.35122976855053156,0.4649122807017544
EDF-Dynamic-Reservation,100,6,404,1000,3-4,1692,0.31366877346273203,0.40508589190795846,0.3475177304964539
EDF-Dynamic-Reservation,100,6,404,1000,2,2028,0.2888893505496208,0.37513080805546234,0.3826429980276134
EDF-Dynamic-Reservation,100,6,404,1000,1,2280,0.2397317489778059,0.3401539248590334,0.4789473684210526
EDF-Dynamic-Reservation,100,6,505,1000,1,2280,0.2461153781632129,0.35548861866774606,0.4631578947368421
EDF-Dynamic-Reservation,100,6,505,1000,3-4,1692,0.31929194593360677,0.4133040098854418,0.34988179669030733
EDF-Dynamic-Reservation,100,6,505,1000,2,2028,0.28593762124215866,0.3856587592339443,0.3806706114398422
EDF-Dynamic-Reservation,100,6,606,1000,2,2028,0.2855182190262213,0.4025746811699206,0.3865877712031558
EDF-Dynamic-Reservation,100,6,606,1000,1,2280,0.24655165739565477,0.3481303582772559,0.4631578947368421
EDF-Dynamic-Reservation,100,6,606,1000,3-4,1692,0.3164454970520634,0.3952335694205041,0.34988179669030733
EDF-Dynamic-Reservation,100,6,707,1000,3-4,1692,0.32245310598705124,0.40563124512343807,0.34988179669030733
EDF-Dynamic-Reservation,100,6,707,1000,1,2280,0.2476556580545341,0.35294014470510854,0.4666666666666667
EDF-Dynamic-Reservation,100,6,707,1000,2,2028,0.28825161296287005,0.37822387327272516,0.3747534516765286
EDF-Dynamic-Reservation,100,6,808,1000,3-4,1692,0.3167462248430415,0.39993068390709857,0.3475177304964539
EDF-Dynamic-Reservation,100,6,808,1000,1,2280,0.24525984490310038,0.34528100562742087,0.46842105263157896
EDF-Dynamic-Reservation,100,6,808,1000,2,2028,0.28850591715359647,0.38983690400384086,0.3767258382642998
EDF-Dynamic-Reservation,100,6,909,1000,1,2280,0.24767331499572498,0.3463439753990072,0.45614035087719296
EDF-Dynamic-Reservation,100,6,909,1000,2,2028,0.28692885885329805,0.398742820269256,0.3767258382642998
EDF-Dynamic-Reservation,100,6,909,1000,3-4,1692,0.31970782711886453,0.39750393778322984,0.34988179669030733
EDF-Dynamic-Reservation,100,6,1010,1000,1,2280,0.24670610983955907,0.3508405151816684,0.4631578947368421
EDF-Dynamic-Reservation,100,6,1010,1000,3-4,1692,0.32408245429983445,0.39592914316504674,0.34278959810874704
EDF-Dynamic-Reservation,100,6,1010,1000,2,2028,0.2899985681650243,0.40876579500696125,0.3806706114398422
EDF-Dynamic-Reservation,100,8,101,1000,1,3040,0.18328392561012768,0.2633547383333614,0.5921052631578947
EDF-Dynamic-Reservation,100,8,101,1000,3-4,2256,0.24146425595470514,0.3176898979146855,0.5035460992907801
EDF-Dynamic-Reservation,100,8,101,1000,2,2704,0.21645250411998682,0.29606219045933346,0.5355029585798816
EDF-Dynamic-Reservation,100,8,202,1000,3-4,2256,0.2461699761119046,0.3081003133974223,0.5106382978723404
EDF-Dynamic-Reservation,100,8,202,1000,2,2704,0.21612837601341628,0.2805543927616354,0.5414201183431953
EDF-Dynamic-Reservation,100,8,202,1000,1,3040,0.18385146258888752,0.25703506316091274,0.6
EDF-Dynamic-Reservation,100,8,303,1000,2,2704,0.2183398402672609,0.3029702381184916,0.5325443786982249
EDF-Dynamic-Reservation,100,8,303,1000,3-4,2256,0.2426339545126236,0.3096078906169656,0.5070921985815603
EDF-Dynamic-Reservation,100,8,303,1000,1,3040,0.18643374210015468,0.2731846929654428,0.5947368421052631
EDF-Dynamic-Reservation,100,8,404,1000,3-4,2256,0.236863433734009,0.30750402928812065,0.5177304964539007
EDF-Dynamic-Reservation,100,8,404,1000,2,2704,0.22133885602183,0.30647038972411383,0.5325443786982249
EDF-Dynamic-Reservation,100,8,404,1000,1,3040,0.1791781072471675,0.2406803501256472,0.6105263157894737
EDF-Dynamic-Reservation,100,8,505,1000,1,3040,0.17891441524449042,0.25528510954075523,0.6052631578947368
EDF-Dynamic-Reservation,100,8,505,1000,3-4,2256,0.2457221484922753,0.3225437458250894,0.5070921985815603
EDF-Dynamic-Reservation,100,8,505,1000,2,2704,0.21525830914653266,0.2958710682081057,0.5355029585798816
EDF-Dynamic-Reservation,100,8,606,1000,2,2704,0.21264846829394946,0.306687205296851,0.5443786982248521
EDF-Dynamic-Reservation,100,8,606,1000,1,3040,0.18528683900716583,0.2743075911153087,0.5947368421052631
EDF-Dynamic-Reservation,100,8,606,1000,3-4,2256,0.2350677128521355,0.29994995911643424,0.5141843971631206
EDF-Dynamic-Reservation,100,8,707,1000,3-4,2256,0.24656782231966665,0.30868055000721795,0.5035460992907801
EDF-Dynamic-Reservation,100,8,707,1000,1,3040,0.18319935231800835,0.26044423456394517,0.6026315789473684
EDF-Dynamic-Reservation,100,8,707,1000,2,2704,0.21780094330658228,0.29320055921288884,0.5295857988165681
EDF-Dynamic-Reservation,100,8,808,1000,3-4,2256,0.23465589866021702,0.29069936095442606,0.5141843971631206
EDF-Dynamic-Reservation,100,8,808,1000,1,3040,0.17964243719579823,0.2505688698497293,0.6078947368421053
EDF-Dynamic-Reservation,100,8,808,1000,2,2704,0.21612094444551383,0.30148588535129084,0.5325443786982249
EDF-Dynamic-Reservation,100,8,909,1000,1,3040,0.18355275297742088,0.2542431652977586,0.5868421052631579
EDF-Dynamic-Reservation,100,8,909,1000,2,2704,0.2139447953496097,0.2925572307467621,0.5384615384615384
EDF-Dynamic-Reservation,100,8,909,1000,3-4,2256,0.23746334453477688,0.3004279697400155,0.5070921985815603
EDF-Dynamic-Reservation,100,8,1010,1000,1,3040,0.18819347364206912,0.2705978783330241,0.6
EDF-Dynamic-Reservation,100,8,1010,1000,3-4,2256,0.24281622284733187,0.2887912791195536,0.5106382978723404
EDF-Dynamic-Reservation,100,8,1010,1000,2,2704,0.22186932511268756,0.313907892597709,0.5266272189349113
EDF-Dynamic-Reservation,100,10,101,1000,1,3800,0.15559948101306398,0.22452566070193783,0.6736842105263158
EDF-Dynamic-Reservation,100,10,101,1000,3-4,2820,0.19459114054027754,0.30219203380272613,0.6099290780141844
EDF-Dynamic-Reservation,100,10,101,1000,2,3380,0.1721040816053012,0.26915482194528195,0.6094674556213018
EDF-Dynamic-Reservation,100,10,202,1000,3-4,2820,0.15304188193104026,0.1609259639391517,0.6595744680851063
EDF-Dynamic-Reservation,100,10,202,1000,2,3380,0.1855407393854474,0.2338849534199614,0.5798816568047337
EDF-Dynamic-Reservation,100,10,202,1000,1,3800,0.14096983668465268,0.1878171116320645,0.6947368421052632
EDF-Dynamic-Reservation,100,10,303,1000,2,3380,0.187623840144199,0.22077775336995709,0.6153846153846154
EDF-Dynamic-Reservation,100,10,303,1000,3-4,2820,0.21761062705706483,0.2636075625651033,0.5673758865248227
EDF-Dynamic-Reservation,100,10,303,1000,1,3800,0.14695111821146273,0.23983269525913684,0.6947368421052632
EDF-Dynamic-Reservation,100,10,404,1000,3-4,2820,0.18885907664090568,0.22640891241247454,0.6170212765957447
EDF-Dynamic-Reservation,100,10,404,1000,2,3380,0.1470962513374964,0.18888798402987278,0.6686390532544378
EDF-Dynamic-Reservation,100,10,404,1000,1,3800,0.15814969983674634,0.257292429123168,0.6736842105263158
EDF-Dynamic-Reservation,100,10,505,1000,1,3800,0.16793899248338257,0.265120671917427,0.6578947368421053
EDF-Dynamic-Reservation,100,10,505,1000,3-4,2820,0.19727477380128397,0.23284211595909485,0.6028368794326241
EDF-Dynamic-Reservation,100,10,505,1000,2,3380,0.15533503909329094,0.27967345741655003,0.650887573964497
EDF-Dynamic-Reservation,100,10,606,1000,2,3380,0.16411970667253514,0.2352555644071469,0.6568047337278107
EDF-Dynamic-Reservation,100,10,606,1000,1,3800,0.13893974785633834,0.17666571096082168,0.6894736842105263
EDF-Dynamic-Reservation,100,10,606,1000,3-4,2820,0.21137617929050118,0.2665932169199918,0.5602836879432624
EDF-Dynamic-Reservation,100,10,707,1000,3-4,2820,0.17312985619963753,0.24112904470396324,0.6453900709219859
EDF-Dynamic-Reservation,100,10,707,1000,1,3800,0.14459158358285662,0.2225260992022667,0.6736842105263158
EDF-Dynamic-Reservation,100,10,707,1000,2,3380,0.19476313528192837,0.2520447075814531,0.5857988165680473
EDF-Dynamic-Reservation,100,10,808,1000,3-4,2820,0.18974168005606376,0.23993674963428774,0.5886524822695035
EDF-Dynamic-Reservation,100,10,808,1000,1,3800,0.12715405323432433,0.17856003238156276,0.7210526315789474
EDF-Dynamic-Reservation,100,10,808,1000,2,3380,0.18878079148887655,0.2399458727360202,0.5976331360946746
EDF-Dynamic-Reservation,100,10,909,1000,1,3800,0.14223790591610994,0.1969358946249979,0.6842105263157895
EDF-Dynamic-Reservation,100,10,909,1000,2,3380,0.19648374028891413,0.28860090999434146,0.591715976331361
EDF-Dynamic-Reservation,100,10,909,1000,3-4,2820,0.18376691020011918,0.2302727405701137,0.6312056737588653
EDF-Dynamic-Reservation,100,10,1010,1000,1,3800,0.1326740258878503,0.18583239168198606,0.6894736842105263
EDF-Dynamic-Reservation,100,10,1010,1000,3-4,2820,0.1992248695589558,0.2700501897497314,0.5957446808510638
EDF-Dynamic-Reservation,100,10,1010,1000,2,3380,0.1756210457649726,0.26045815850104864,0.6094674556213018
EDF-Dynamic-Reservation,150,4,101,1000,1,1520,0.40649929181987043,0.560304167439664,0.14210526315789473
EDF-Dynamic-Reservation,150,4,101,1000,3-4,1128,0.5403598534753125,0.6674523283419465,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,101,1000,2,1352,0.47423340268133574,0.6332962758507119,0.023668639053254437
EDF-Dynamic-Reservation,150,4,202,1000,3-4,1128,0.5429313882465732,0.6625954843292412,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,202,1000,2,1352,0.4704011599249186,0.61580798885,0.023668639053254437
EDF-Dynamic-Reservation,150,4,202,1000,1,1520,0.4213341406166433,0.5636948712326919,0.13157894736842105
EDF-Dynamic-Reservation,150,4,303,1000,2,1352,0.47817883004684214,0.6293508109022623,0.01775147928994083
EDF-Dynamic-Reservation,150,4,303,1000,3-4,1128,0.5362546143441034,0.6649113433696444,0.014184397163120567
EDF-Dynamic-Reservation,150,4,303,1000,1,1520,0.4054136119560436,0.5622461336076772,0.1394736842105263
EDF-Dynamic-Reservation,150,4,404,1000,3-4,1128,0.5356954437847058,0.6553706610463543,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,404,1000,2,1352,0.4560823224122821,0.6259944893084229,0.04142011834319527
EDF-Dynamic-Reservation,150,4,404,1000,1,1520,0.4115198998461808,0.5427959455584976,0.15789473684210525
EDF-Dynamic-Reservation,150,4,505,1000,1,1520,0.4099470961385937,0.5763668561212959,0.12828947368421054
EDF-Dynamic-Reservation,150,4,505,1000,3-4,1128,0.5542076268872645,0.6734999821770324,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,505,1000,2,1352,0.4624905077002072,0.6155345653306039,0.03994082840236687
EDF-Dynamic-Reservation,150,4,606,1000,2,1352,0.4725114254864062,0.5981056284000453,0.022189349112426034
EDF-Dynamic-Reservation,150,4,606,1000,1,1520,0.39024742540544305,0.5511853844467306,0.14210526315789473
EDF-Dynamic-Reservation,150,4,606,1000,3-4,1128,0.5380869835362834,0.6658442664606031,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,707,1000,3-4,1128,0.5459787424530452,0.6666402907233298,0.014184397163120567
EDF-Dynamic-Reservation,150,4,707,1000,1,1520,0.39962363178748467,0.5488283608520399,0.13815789473684212
EDF-Dynamic-Reservation,150,4,707,1000,2,1352,0.4645540901196086,0.6271622582836921,0.03550295857988166
EDF-Dynamic-Reservation,150,4,808,1000,3-4,1128,0.5465755439671948,0.6570452517634153,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,808,1000,1,1520,0.4072049901075495,0.5620412190309143,0.1368421052631579
EDF-Dynamic-Reservation,150,4,808,1000,2,1352,0.46090793041035133,0.6246311280449967,0.04142011834319527
EDF-Dynamic-Reservation,150,4,909,1000,1,1520,0.40803791322447325,0.5580594673907544,0.13157894736842105
EDF-Dynamic-Reservation,150,4,909,1000,2,1352,0.46969418477859526,0.6253076812814086,0.047337278106508875
EDF-Dynamic-Reservation,150,4,909,1000,3-4,1128,0.5324922636816816,0.6534914134951686,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,1010,1000,1,1520,0.41048127948857904,0.5657980705985529,0.14210526315789473
EDF-Dynamic-Reservation,150,4,1010,1000,3-4,1128,0.537566081728276,0.6751893570798085,0.0070921985815602835
EDF-Dynamic-Reservation,150,4,1010,1000,2,1352,0.47172832417356336,0.6086081116370312,0.047337278106508875
EDF-Dynamic-Reservation,150,6,101,1000,1,2280,0.3618136682055353,0.5364529820833263,0.18596491228070175
EDF-Dynamic-Reservation,150,6,101,1000,3-4,1692,0.4688122251680796,0.6131771299322559,0.04018912529550828
EDF-Dynamic-Reservation,150,6,101,1000,2,2028,0.4189941088915377,0.5729888414856289,0.07495069033530571
EDF-Dynamic-Reservation,150,6,202,1000,3-4,1692,0.4738833481864177,0.606696250516536,0.04728132387706856
EDF-Dynamic-Reservation,150,6,202,1000,2,2028,0.4179790383906339,0.5751246927444363,0.08678500986193294
EDF-Dynamic-Reservation,150,6,202,1000,1,2280,0.3599619986417863,0.5241811568538164,0.19473684210526315
EDF-Dynamic-Reservation,150,6,303,1000,2,2028,0.42236148991361455,0.5969834738352335,0.07297830374753451
EDF-Dynamic-Reservation,150,6,303,1000,3-4,1692,0.4806650683817777,0.6199579723954783,0.03309692671394799
EDF-Dynamic-Reservation,150,6,303,1000,1,2280,0.3624113077367645,0.5253092270588434,0.18552631578947368
EDF-Dynamic-Reservation,150,6,404,1000,3-4,1692,0.46420075633682667,0.604546488786622,0.04964539007092199
EDF-Dynamic-Reservation,150,6,404,1000,2,2028,0.421095439802483,0.5751329316360315,0.08086785009861933
EDF-Dynamic-Reservation,150,6,404,1000,1,2280,0.35581252110526124,0.5212752489051546,0.20614035087719298
EDF-Dynamic-Reservation,150,6,505,1000,1,2280,0.36781510126488437,0.5333390675684032,0.18947368421052632
EDF-Dynamic-Reservation,150,6,505,1000,3-4,1692,0.47706691647905497,0.6131149885511903,0.028368794326241134
EDF-Dynamic-Reservation,150,6,505,1000,2,2028,0.4191498915276958,0.5754654172400083,0.07495069033530571
EDF-Dynamic-Reservation,150,6,606,1000,2,2028,0.4218237373537045,0.6003637232738119,0.07988165680473373
EDF-Dynamic-Reservation,150,6,606,1000,1,2280,0.3691992450588104,0.5330746181392969,0.18947368421052632
EDF-Dynamic-Reservation,150,6,606,1000,3-4,1692,0.4778034734679783,0.6051860328573576,0.03546099290780142
EDF-Dynamic-Reservation,150,6,707,1000,3-4,1692,0.4772779614328631,0.6063353297333215,0.03546099290780142
EDF-Dynamic-Reservation,150,6,707,1000,1,2280,0.35953240330149727,0.533371898875078,0.19298245614035087
EDF-Dynamic-Reservation,150,6,707,1000,2,2028,0.4267574114008388,0.5758500407537148,0.07297830374753451
EDF-Dynamic-Reservation,150,6,808,1000,3-4,1692,0.46770485635060965,0.6040444410573977,0.04491725768321513
EDF-Dynamic-Reservation,150,6,808,1000,1,2280,0.3639470037253052,0.5258538669545028,0.18859649122807018
EDF-Dynamic-Reservation,150,6,808,1000,2,2028,0.424005461355132,0.5850671817751911,0.07100591715976332
EDF-Dynamic-Reservation,150,6,909,1000,1,2280,0.36691940809600804,0.5328566047706587,0.19473684210526315
EDF-Dynamic-Reservation,150,6,909,1000,2,2028,0.41879831497425146,0.5832741585587459,0.07988165680473373
EDF-Dynamic-Reservation,150,6,909,1000,3-4,1692,0.47338091015293665,0.6043571851984785,0.0425531914893617
EDF-Dynamic-Reservation,150,6,1010,1000,1,2280,0.36043266242820676,0.5252137126923359,0.2
