configuration,period_ms,lines,seed,epochs,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s,admission_infeasible,scheduler,early_exit
Static-V,100,4,101,1000,16000,0,2104,0,0,13896,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6139881980425299,0.5332487499999372,0.6884000000000013,13896,0.5836982433882885,4000,4000,0.4166996179133443,3888,0.4429259941330638,0.5774844665588695,0.4225155334411304,0.122,0.0262263762197195,58.61466031746362,0.0,59.49139249451422,99.99809999999998,,,
Static-V,100,4,202,1000,16000,0,2072,0,0,13928,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6136685812750561,0.5341984999999363,0.6884000000000013,13928,0.5845199599187866,4000,4000,0.4179984195744503,3920,0.4396669625258189,0.5903769280231348,0.4096230719768652,0.116,0.0216685429513685,58.60583538289267,0.0,59.48034836145391,99.99809999999998,,,
Static-V,100,4,303,1000,16000,0,2080,0,0,13920,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6137569540229156,0.5339685499999366,0.6884000000000013,13920,0.583734687980203,4000,4000,0.420257786015787,3904,0.4451410538060428,0.5949181222531953,0.4050818777468047,0.118,0.0248832677902557,58.59685265191053,0.0,59.47268838770898,99.99809999999998,,,
Static-V,100,4,404,1000,16000,0,2104,0,0,13896,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,19660c8d7c38bf482c258d456033c0235b91bafa3f9150f8928502cb0b6a233e,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6138715025906013,0.5331473999999372,0.6884000000000013,13896,0.5822522442761766,4000,4000,0.4249627859287465,3920,0.4490657177350871,0.5953675928332316,0.4046324071667684,0.112,0.0241029318063406,58.59362919635058,0.0,59.443852841002894,99.99809999999998,,,
Static-V,100,4,505,1000,16000,0,2088,0,0,13912,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,73cdab68096cc443e0e24ada558429cabf1afc7f75cc16ce9d024a0d7cee62f9,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6138349626221233,0.5337294999999362,0.6884000000000013,13912,0.5810533716410936,4000,4000,0.4138545060570744,3880,0.4434416710437729,0.5804005851937154,0.4195994148062846,0.12,0.0295871649866984,58.6158259077496,0.0,59.47683551972604,99.99809999999998,,,
Static-V,100,4,606,1000,16000,0,2064,0,0,13936,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7833957291a032d51d81862cac99e9d8ccb12f68b533b2caf53ee51ae3f9dc9c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.613590528128514,0.5344373499999356,0.6884000000000013,13936,0.5818786340439488,4000,4000,0.4194373541576299,3904,0.4457761554831883,0.5802121174729648,0.4197878825270352,0.114,0.0263388013255584,58.59871434950953,0.0,59.46987743869136,99.99809999999998,,,
Static-V,100,4,707,1000,16000,0,2080,0,0,13920,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7299403d9d2d4f4ccec9f76133c48d8d07e2ed601a2777f731db87ca14e66056,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6137795402298123,0.5339881999999366,0.6884000000000013,13920,0.5825886329567176,4000,4000,0.417415858178287,3888,0.4452227982287555,0.5927906171841842,0.4072093828158157,0.128,0.0278069400504685,58.60202017628362,0.0,59.48792349709713,99.99809999999998,,,
Static-V,100,4,808,1000,16000,0,2112,0,0,13888,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,332b0fc25c5dccfb6fb5145b59221f17277c51b24f8c2d6148183eada1540c2c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6140380760367943,0.5329850499999375,0.6884000000000013,13888,0.5809202403063537,4000,4000,0.42267530336395,3888,0.4485064203082857,0.6088526993498461,0.3911473006501539,0.12,0.0258311169443357,58.61535009478403,0.0,59.50976786137961,99.99809999999998,,,
Static-V,100,4,909,1000,16000,0,2080,0,0,13920,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,3a15676bda67054cb5929717fc730bfa67cd49969827870cd1819db4b67b2b0f,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6137414367815364,0.5339550499999366,0.6884000000000013,13920,0.583475481800584,4000,4000,0.4260783842119654,3896,0.4504894744266093,0.5900279350952283,0.4099720649047716,0.114,0.0244110902146438,58.60089492990805,0.0,59.47175295156298,99.99809999999998,,,
Static-V,100,4,1010,1000,16000,0,2112,0,0,13888,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,f74ec5db6e908852b709fb2fc49501319e260c6bb970c5803f31b89af1514827,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6139792626727397,0.5329339999999381,0.6884000000000013,13888,0.5811157366169764,4000,4000,0.4155330395395272,3880,0.442543945419904,0.5987830911690035,0.4012169088309965,0.124,0.0270109058803767,58.595581254654064,0.0,59.48679612336358,99.99809999999998,,,
Static-V,100,6,101,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,368e16a18b5b73e12179e2ceeeef5d7bbd6d7e12c7147fe591b0919c4402b0f8,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3726499957427494,6000,6000,0.2882106978177253,5176,0.4127265976393869,0.3140084338034297,0.6859915661965703,0.3273333333333333,0.1245158998216616,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,202,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,1647dacc78c42fdbc64e7d28ec9e5575601944c739c0044734f158d076fd1351,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3723868030281969,6000,6000,0.2928760295828164,5196,0.4166617024336316,0.3199259273363314,0.6800740726636686,0.3186666666666666,0.1237856728508152,58.94045189161896,0.0,59.795055954877,99.9993,,,
