configuration,lines,mandatory_service_failure_rate,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate,average_temperature_c,iit_celsius_seconds,peak_temperature_c
Static-V,4,0.0,0.0,0.0,0.47718350618078587,0.620785915753239,0.07852,57.24585288431056,0.0,59.28395670816845
Static-V,6,0.0,0.0,0.0,0.43560654019023154,0.5652061230207489,0.12884999999999996,59.237719124781044,0.0,59.891877747783894
Static-V,8,0.05,0.05,0.0,0.38890312627220014,0.5013948909998812,0.1991825,59.28612678714308,0.0,59.870245736525895
Static-V,10,0.08,0.08,0.0,0.33609104203880363,0.4277459554035834,0.271784,59.317137227340325,0.0,59.88237318060231
ESATD-L3,4,0.0,0.0,0.0,0.4763025727459713,0.5603964395632692,0.128335,33.32758355627289,0.0,35.05736632934605
ESATD-L3,6,0.0,0.0,0.0,0.4057902345351285,0.45841645379389406,0.21544999999999997,35.18020771053805,0.0,37.87950827099944
ESATD-L3,8,0.0109,0.0,0.0109,0.3373949877545685,0.3564663819003069,0.3033375,35.8272440009494,0.0,38.784867953411776
ESATD-L3,10,0.04222000000000001,0.00612,0.03723952960594182,0.28979421663888283,0.2900969427180944,0.37504800000000005,35.8272440009494,0.0,38.784867953411776
HEAT-L3,4,0.19961500000000001,0.0,0.19961500000000001,0.42950070084234876,0.5227676649644812,0.244365,53.56940504751492,1618.1661142375594,65.21725529751562
HEAT-L3,6,0.39946,0.0,0.39946,0.32221471786609035,0.3922280209119904,0.4330833333333333,65.33104929248658,4734.368637540212,74.52160515227912
HEAT-L3,8,0.661395,0.0,0.661395,0.18391826421960542,0.22142448296664757,0.6720975,72.49521545584852,7196.610075602406,76.2472185825607
HEAT-L3,10,0.9257139999999999,0.0,0.9257139999999999,0.042801070007855706,0.0512797465160672,0.921352,76.54973236031081,10123.296389075404,77.17603770660266
Full-HBTASP,4,0.0,0.0,0.0,0.474900749453434,0.6232963476249812,0.07652,58.290729438678724,0.0,59.99972302931491
Full-HBTASP,6,0.0,0.0,0.0,0.43284317849747134,0.5670006591081206,0.1283733333333333,59.568057775136175,0.0,59.99996949797768
Full-HBTASP,8,0.05,0.05,0.0,0.3855441878300254,0.5022627234463488,0.1988425,59.66667549731079,0.0,59.99995662782375
Full-HBTASP,10,0.08,0.08,0.0,0.3338942522723249,0.4281696288615997,0.271648,59.703026043769306,0.0,59.999795318573405
