configuration,period_ms,mandatory_service_failure_rate,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate,average_temperature_c,iit_celsius_seconds,peak_temperature_c
Static-V,100,0.1625,0.1625,0.0,0.2747581609687638,0.32978963394840105,0.37404166666666666,58.85632302525188,0.0,59.71607285307027
Static-V,150,0.0,0.0,0.0,0.37168009251751666,0.4677178658483494,0.20814583333333334,59.14331009590053,0.0,59.93007756640482
Static-V,200,0.0,0.0,0.0,0.4405536743603274,0.5837104781805511,0.11201062499999999,59.389748603311226,0.0,59.81682320445283
Static-V,250,0.0,0.0,0.0,0.47180076429840645,0.6285452812828872,0.08196666666666666,58.62658985434807,0.0,59.69816869340934
Static-V,300,0.0,0.0,0.0,0.4884375762075123,0.634152847211627,0.07175583333333332,57.84257345065707,0.0,59.49942439901342
ESATD-L3,100,0.0664,0.00765,0.06017441200742727,0.2383523326995996,0.21829548181403952,0.4428354166666667,39.530506543429546,0.0,43.87160139681859
ESATD-L3,150,0.0,0.0,0.0,0.326542105743361,0.3388933976672617,0.31434249999999997,37.22985347760488,0.0,41.4157284705524
ESATD-L3,200,0.0,0.0,0.0,0.39566776772568046,0.44231517834625267,0.22961645833333333,33.343149510127276,0.0,35.16335872381387
ESATD-L3,250,0.0,0.0,0.0,0.44461269543025994,0.5142504505472735,0.168216875,33.51487085193107,0.0,35.41934141029252
ESATD-L3,300,0.0,0.0,0.0,0.48142761299428816,0.5679657640946283,0.122701875,31.584468702794396,0.0,32.26323313248392
HEAT-L3,100,0.9992106250000001,0.0,0.9992106250000001,0.0004776236473862625,0.0006940412081463238,0.9991622916666667,75.8286508540477,7089.083640171094,77.17603770660278
HEAT-L3,150,0.749154375,0.0,0.749154375,0.13458088351595765,0.16384663670704425,0.7631631249999999,72.23892571552429,6548.52632597711,75.9740841074571
HEAT-L3,200,0.49922500000000003,0.0,0.49922500000000003,0.2687262206726046,0.32705598696790833,0.527214375,68.74313383174939,6416.934237317039,75.00537756928455
HEAT-L3,250,0.327025,0.0,0.327025,0.36387605581931404,0.4398753071512805,0.3544375,61.107237839282575,5223.639702360267,70.18986858358193
HEAT-L3,300,0.158115,0.0,0.158115,0.4553826575146127,0.5531529221646034,0.194645,57.01380445459709,4312.367614743967,68.10727795677127
Full-HBTASP,100,0.1625,0.1625,0.0,0.27295300345509094,0.330260635787524,0.37373375,59.536973158172124,0.0,59.999881291948824
Full-HBTASP,150,0.0,0.0,0.0,0.3689115353201006,0.4685635330229818,0.2077379166666667,59.62737694325299,0.0,59.99996148930264
Full-HBTASP,200,0.0,0.0,0.0,0.43827527734251276,0.5853732205743009,0.111929375,59.63217033837581,0.0,59.999964138513306
Full-HBTASP,250,0.0,0.0,0.0,0.4697311498304176,0.6300090136930131,0.08004479166666664,59.348921691602776,0.0,59.999643515642774
Full-HBTASP,300,0.0,0.0,0.0,0.4841069941184476,0.6367052957234931,0.07078395833333333,58.39016881221505,0.0,59.99985515670463
