period_ms,production_lines,processor,released_streams,pre_rejected_streams_cell,accepted_streams,wcet_s,blocking_bound_s,d_min_s,mandatory_utilization,phi,margin,certificate_pass,replay_epochs,mandatory_released,mandatory_late,admitted_mandatory_dmr,worst_busy_interval_s
100,4,0,4,0,3,0.0201,0.0201,0.1,0.603,0.8039999999999999,0.19600000000000006,True,1000,3000,0,0.0,0.0804
100,4,1,4,0,1,0.04,0.04,0.1,0.39999999999999997,0.7999999999999999,0.20000000000000007,True,1000,1000,0,0.0,0.08
100,6,0,6,2,3,0.0201,0.0201,0.1,0.603,0.8039999999999999,0.19600000000000006,True,1000,3000,0,0.0,0.0804
100,6,1,6,2,1,0.04,0.04,0.1,0.39999999999999997,0.7999999999999999,0.20000000000000007,True,1000,1000,0,0.0,0.08
100,8,0,8,4,3,0.0201,0.0201,0.1,0.603,0.8039999999999999,0.19600000000000006,True,1000,3000,0,0.0,0.0804
100,8,1,8,4,1,0.04,0.04,0.1,0.39999999999999997,0.7999999999999999,0.20000000000000007,True,1000,1000,0,0.0,0.08
100,10,0,10,6,3,0.0201,0.0201,0.1,0.603,0.8039999999999999,0.19600000000000006,True,1000,3000,0,0.0,0.0804
100,10,1,10,6,1,0.04,0.04,0.1,0.39999999999999997,0.7999999999999999,0.20000000000000007,True,1000,1000,0,0.0,0.08
150,4,0,4,0,3,0.0201,0.0201,0.15,0.402,0.536,0.46399999999999997,True,1000,3000,0,0.0,0.0804
150,4,1,4,0,1,0.04,0.04,0.15,0.26666666666666666,0.5333333333333333,0.4666666666666667,True,1000,1000,0,0.0,0.08
150,6,0,6,0,4,0.0201,0.0201,0.15,0.536,0.67,0.32999999999999996,True,1000,4000,0,0.0,0.1005
150,6,1,6,0,2,0.04,0.04,0.15,0.5333333333333333,0.8,0.19999999999999996,True,1000,2000,0,0.0,0.12
150,8,0,8,0,6,0.0201,0.0201,0.15,0.804,0.9380000000000001,0.061999999999999944,True,1000,6000,0,0.0,0.1407
150,8,1,8,0,2,0.04,0.04,0.15,0.5333333333333333,0.8,0.19999999999999996,True,1000,2000,0,0.0,0.12
150,10,0,10,2,6,0.0201,0.0201,0.15,0.804,0.9380000000000001,0.061999999999999944,True,1000,6000,0,0.0,0.1407
150,10,1,10,2,2,0.04,0.04,0.15,0.5333333333333333,0.8,0.19999999999999996,True,1000,2000,0,0.0,0.12
200,4,0,4,0,3,0.0201,0.0201,0.2,0.3015,0.40199999999999997,0.5980000000000001,True,1000,3000,0,0.0,0.0804
200,4,1,4,0,1,0.04,0.04,0.2,0.19999999999999998,0.39999999999999997,0.6000000000000001,True,1000,1000,0,0.0,0.08
200,6,0,6,0,4,0.0201,0.0201,0.2,0.40199999999999997,0.5025,0.49750000000000005,True,1000,4000,0,0.0,0.1005
200,6,1,6,0,2,0.04,0.04,0.2,0.39999999999999997,0.6,0.4,True,1000,2000,0,0.0,0.12
200,8,0,8,0,6,0.0201,0.0201,0.2,0.603,0.7035,0.2965,True,1000,6000,0,0.0,0.1407
200,8,1,8,0,2,0.04,0.04,0.2,0.39999999999999997,0.6,0.4,True,1000,2000,0,0.0,0.12
200,10,0,10,0,7,0.0201,0.0201,0.2,0.7034999999999999,0.8039999999999999,0.19600000000000006,True,1000,7000,0,0.0,0.1608
200,10,1,10,0,3,0.04,0.04,0.2,0.6,0.7999999999999999,0.20000000000000007,True,1000,3000,0,0.0,0.16
250,4,0,4,0,3,0.0201,0.0201,0.25,0.2412,0.3216,0.6784,True,1000,3000,0,0.0,0.0804
250,4,1,4,0,1,0.04,0.04,0.25,0.16,0.32,0.6799999999999999,True,1000,1000,0,0.0,0.08
250,6,0,6,0,4,0.0201,0.0201,0.25,0.3216,0.402,0.598,True,1000,4000,0,0.0,0.1005
250,6,1,6,0,2,0.04,0.04,0.25,0.32,0.48,0.52,True,1000,2000,0,0.0,0.12
250,8,0,8,0,6,0.0201,0.0201,0.25,0.4824,0.5628,0.43720000000000003,True,1000,6000,0,0.0,0.1407
250,8,1,8,0,2,0.04,0.04,0.25,0.32,0.48,0.52,True,1000,2000,0,0.0,0.12
250,10,0,10,0,7,0.0201,0.0201,0.25,0.5628,0.6432,0.3568,True,1000,7000,0,0.0,0.1608
250,10,1,10,0,3,0.04,0.04,0.25,0.48,0.64,0.36,True,1000,3000,0,0.0,0.16
300,4,0,4,0,3,0.0201,0.0201,0.3,0.201,0.268,0.732,True,1000,3000,0,0.0,0.0804
300,4,1,4,0,1,0.04,0.04,0.3,0.13333333333333333,0.26666666666666666,0.7333333333333334,True,1000,1000,0,0.0,0.08
300,6,0,6,0,4,0.0201,0.0201,0.3,0.268,0.335,0.665,True,1000,4000,0,0.0,0.1005
300,6,1,6,0,2,0.04,0.04,0.3,0.26666666666666666,0.4,0.6,True,1000,2000,0,0.0,0.12
300,8,0,8,0,6,0.0201,0.0201,0.3,0.402,0.46900000000000003,0.5309999999999999,True,1000,6000,0,0.0,0.1407
300,8,1,8,0,2,0.04,0.04,0.3,0.26666666666666666,0.4,0.6,True,1000,2000,0,0.0,0.12
300,10,0,10,0,7,0.0201,0.0201,0.3,0.469,0.536,0.46399999999999997,True,1000,7000,0,0.0,0.1608
300,10,1,10,0,3,0.04,0.04,0.3,0.4,0.5333333333333333,0.4666666666666667,True,1000,3000,0,0.0,0.16
