configuration,period_ms,lines,seed,epochs,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,released_images,completed_images,pre_rejected_images,on_time_completion_rate,deadline_aware_complete_image_dice,deadline_aware_pixel_recall,deadline_aware_image_complete_miss_rate,native_metric_family,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s,deadline_aware_image_detection_recall,native_box_recall,native_map50
DeepLabV3-MobileNetV3-Full,100,4,101,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,b8dc561e2538c7af3ed38106dcf8e6e52bd5608a477b309f2a2c4ab634823097,4000,3000,1000,0.75,0.492296950998328,0.6414986221208598,0.286,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,202,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,35d809b60c214f1f274805e2a5b8745df2517c03b1925e744cba0248ac6054f3,4000,3000,1000,0.75,0.48400034227200195,0.5889732082398929,0.292,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,303,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,8d65bbc19a6fd57b7d766176eccfacbca9db323ed03b98b6aa8c2f0710b6fe57,4000,3000,1000,0.75,0.49041192226874347,0.5789909719304674,0.282,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,404,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,dabb0c29b24f8357a27a29a57aee1b3f56388828996aac9b407627dfd2ee508f,4000,3000,1000,0.75,0.4904853547134985,0.5923609289146575,0.28,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,505,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,80dafb91f7e1e062709fb9e081cccc100cd52e75b585c1352a728717678e8524,4000,3000,1000,0.75,0.4904525936771174,0.6158104676612388,0.288,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,606,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,164e7f2590273604508384df48e76338a231cafc846ac7978f45bd56bc856ba2,4000,3000,1000,0.75,0.4945953286036676,0.5780968114954347,0.282,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,707,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,cd696d7e4f5dc03a2aed795940116fdea5af8ea1d9d9c9c37ebec248640f15a6,4000,3000,1000,0.75,0.49788806471229224,0.6331000421940198,0.288,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,808,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,7f6c5a27da22115424da990693fa8380ef8a4e7aa0f4bcca74cf54f575774f70,4000,3000,1000,0.75,0.4868675111158228,0.6202045309568843,0.284,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,909,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,c8e842697fdd3575110acff4e13bc4b8023f3600191b27067d9dc60f7670ab2f,4000,3000,1000,0.75,0.4917693974341512,0.6422854635213782,0.29,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
DeepLabV3-MobileNetV3-Full,100,4,1010,1000,4000,4000,1000,0,0,3000,0,0.25,0.0,0.25,63d31a4c55d4e9b4dbf34b7085bc5d5cb071ef25a1e3bf82d36110a3d37dc66e,4000,3000,1000,0.75,0.4836597745118301,0.5890895941667241,0.292,segmentation,55.54538280460735,0.0,56.243976957312015,99.9872,,,
