configuration,period_ms,service_failure,completion,image_miss,dice,recall,atp,iit
DeepLabV3-MobileNetV3-Full,100,0.51875,0.48125,0.5430166666666667,0.3143425269864604,0.3883918130028742,55.54538280460734,0.0
DeepLabV3-MobileNetV3-Full,150,0.3583333333333333,0.6416666666666667,0.39171666666666666,0.4176874436690027,0.5170358712086961,51.44923614744609,0.0
DeepLabV3-MobileNetV3-Full,200,0.1625,0.8375,0.20597499999999996,0.5450938136984176,0.6749682710285343,53.42566336012082,0.0
DeepLabV3-MobileNetV3-Full,250,0.10625,0.89375,0.15185,0.582526137676836,0.7232694393553076,50.07683686763668,0.0
DeepLabV3-MobileNetV3-Full,300,0.025,0.975,0.07415000000000001,0.6355590103204326,0.7893226648157018,49.39382460991606,0.0
YOLOv8n-Full,100,0.51875,0.48125,0.6074666666666666,,,52.4292201725871,0.0
YOLOv8n-Full,150,0.3583333333333333,0.6416666666666667,0.4765,,,48.83469524473396,0.0
YOLOv8n-Full,200,0.10625,0.89375,0.27035,,,51.994590309129386,0.0
YOLOv8n-Full,250,0.025,0.975,0.20465,,,50.19634026009682,0.0
YOLOv8n-Full,300,0.0,1.0,0.184,,,47.35571242078491,0.0
