configuration,level,period_ms,lines,seed,epochs,task_set_accepted,cluster_capacity_gpu0,cluster_capacity_gpu1,assigned_per_slice_gpu0,assigned_per_slice_gpu1,selected_voltage_gpu0,selected_voltage_gpu1,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
HEAT-adapted-L1,1,100,4,101,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,4000,4000,0.4247423119946164,4000,0.4247423119946164,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,202,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,4000,4000,0.4247423119946172,4000,0.4247423119946172,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,303,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,4000,4000,0.4247423119946166,4000,0.4247423119946166,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,404,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,19660c8d7c38bf482c258d456033c0235b91bafa3f9150f8928502cb0b6a233e,4000,4000,0.4247423119946169,4000,0.4247423119946169,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,505,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,73cdab68096cc443e0e24ada558429cabf1afc7f75cc16ce9d024a0d7cee62f9,4000,4000,0.4247423119946171,4000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,606,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7833957291a032d51d81862cac99e9d8ccb12f68b533b2caf53ee51ae3f9dc9c,4000,4000,0.424742311994617,4000,0.424742311994617,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,707,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7299403d9d2d4f4ccec9f76133c48d8d07e2ed601a2777f731db87ca14e66056,4000,4000,0.4247423119946171,4000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,808,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,332b0fc25c5dccfb6fb5145b59221f17277c51b24f8c2d6148183eada1540c2c,4000,4000,0.4247423119946168,4000,0.4247423119946168,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,909,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,3a15676bda67054cb5929717fc730bfa67cd49969827870cd1819db4b67b2b0f,4000,4000,0.4247423119946169,4000,0.4247423119946169,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,4,1010,1000,True,17,8,16,0,0.85,0.6,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,f74ec5db6e908852b709fb2fc49501319e260c6bb970c5803f31b89af1514827,4000,4000,0.4247423119946166,4000,0.4247423119946166,0.6654705787174815,0.3345294212825185,0.042,0.0,48.66341269384754,784.5902557974039,68.32986964989642,99.9948705882354
HEAT-adapted-L1,1,100,6,101,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,368e16a18b5b73e12179e2ceeeef5d7bbd6d7e12c7147fe591b0919c4402b0f8,6000,6000,0.4247423119946166,6000,0.4247423119946166,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
