level,period_ms,task_set_acceptance,service_failure,complete_image_dice,recall,image_miss
1,100,0.5,0.5,0.2123711559973085,0.33273528935874075,0.521
1,150,0.75,0.25,0.3185567339959628,0.4991029340381111,0.2815
1,200,1.0,0.0,0.4247423119946171,0.6654705787174815,0.042
1,250,1.0,0.0,0.4247423119946171,0.6654705787174815,0.042
1,300,1.0,0.0,0.4247423119946171,0.6654705787174815,0.042
2,100,0.25,0.75,0.1281193223718848,0.1604621716476464,0.764
2,150,0.5,0.5,0.25623864474376906,0.3209243432952928,0.528
2,200,0.75,0.25,0.38435796711565295,0.4813865149429392,0.292
2,250,1.0,0.0,0.5124772894875379,0.6418486865905856,0.05600000000000001
2,300,1.0,0.0,0.5124772894875379,0.6418486865905856,0.05600000000000001
3,100,0.0,1.0,0.0,0.0,1.0
3,150,0.25,0.75,0.13414280824395686,0.16326344984866945,0.764
3,200,0.5,0.5,0.2682856164879134,0.3265268996973389,0.528
3,250,0.75,0.25,0.4024284247318694,0.4897903495460083,0.292
3,300,0.75,0.25,0.4024284247318694,0.4897903495460083,0.292
4,100,0.0,1.0,0.0,0.0,1.0
4,150,0.25,0.75,0.1246782552711233,0.16305895021377673,0.765
4,200,0.25,0.75,0.1246782552711233,0.16305895021377673,0.765
4,250,0.5,0.5,0.24935651054224653,0.32611790042755345,0.53
4,300,0.75,0.25,0.3740347658133697,0.48917685064133015,0.29500000000000004
5,100,0.0,1.0,0.0,0.0,1.0
5,150,0.0,1.0,0.0,0.0,1.0
5,200,0.0,1.0,0.0,0.0,1.0
5,250,0.25,0.75,0.12372137514963936,0.15793704213739293,0.7665
5,300,0.5,0.5,0.2474427502992791,0.31587408427478586,0.533
