period_ms,lines,seed,mandatory_rejection_ratio,admitted_mandatory_violation_ratio,mean_voltage,peak_modeled_temperature,total_iit_celsius_seconds,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
40,4,101,0.0,0.0,-0.0006160000000000609,-8.220310071749282e-06,0.0,0.0,0.0,0.0
40,4,202,0.0,0.0,-0.0007000000000000339,-1.3571655046007436e-05,0.0,0.0,0.0,0.0
40,4,303,0.0,0.0,-0.0006420000000000314,-9.860815691098423e-05,0.0,0.0,0.0,0.0
40,4,404,0.0,0.0,-0.0007480000000000819,-2.758622322573956e-06,0.0,0.0,0.0,0.0
40,4,505,0.0,0.0,-0.0005880000000000329,-1.6652094338098777e-05,0.0,0.0,0.0,0.0
40,4,606,0.0,0.0,-0.0006860000000000754,-2.1577695562768895e-05,0.0,0.0,0.0,0.0
40,4,707,0.0,0.0,-0.0006320000000000769,-1.4210771816181023e-05,0.0,0.0,0.0,0.0
40,4,808,0.0,0.0,-0.00058400000000014,-2.603283108726373e-05,0.0,0.0,0.0,0.0
40,4,909,0.0,0.0,-0.0006220000000001225,-3.063453492302415e-05,0.0,0.0,0.0,0.0
40,4,1010,0.0,0.0,-0.0006100000000001105,-2.857681219126107e-05,0.0,0.0,0.0,0.0
40,6,101,0.0,0.0,-0.0007100000000000994,-1.2415058243675503e-05,0.0,0.0,0.0,0.0
40,6,202,0.0,0.0,-0.0006900000000000794,-9.517756510035724e-06,0.0,0.0,0.0,0.0
40,6,303,0.0,0.0,-0.0006680000000000019,-1.016018807575847e-05,0.0,0.0,0.0,0.0
40,6,404,0.0,0.0,-0.0007160000000000499,-3.561225284443026e-06,0.0,0.0,0.0,0.0
40,6,505,0.0,0.0,-0.00058400000000014,-5.57131870948524e-06,0.0,0.0,0.0,0.0
40,6,606,0.0,0.0,-0.0006420000000000314,-1.092428737337059e-05,0.0,0.0,0.0,0.0
40,6,707,0.0,0.0,-0.0006740000000000634,2.4418685597993317e-06,0.0,0.0,0.0,0.0
40,6,808,0.0,0.0,-0.0006479999999999819,-2.6886578162077512e-05,0.0,0.0,0.0,0.0
40,6,909,0.0,0.0,-0.0007580000000000364,5.310641384426162e-07,0.0,0.0,0.0,0.0
40,6,1010,0.0,0.0,-0.0006780000000000674,-1.1858136161890798e-05,0.0,0.0,0.0,0.0
40,8,101,0.0,0.0,-0.000680000000000125,-4.428675564582818e-05,0.0,0.0,0.0,0.0
40,8,202,0.0,0.0,-0.0007220000000001114,-1.760598861011431e-05,0.0,0.0,0.0,0.0
40,8,303,0.0,0.0,-0.0007100000000000994,-2.9024331922755664e-05,0.0,0.0,0.0,0.0
40,8,404,0.0,0.0,-0.0006220000000001225,2.7740727048808367e-06,0.0,0.0,0.0,0.0
40,8,505,0.0,0.0,-0.0006100000000001105,4.372976128763639e-06,0.0,0.0,0.0,0.0
40,8,606,0.0,0.0,-0.0007000000000000339,-3.682862040221835e-05,0.0,0.0,0.0,0.0
40,8,707,0.0,0.0,-0.0006320000000000769,-4.330733562341038e-05,0.0,0.0,0.0,0.0
40,8,808,0.0,0.0,-0.000576000000000132,-5.599339239381607e-06,0.0,0.0,0.0,0.0
40,8,909,0.0,0.0,-0.0006620000000000514,-2.3164238896811185e-05,0.0,0.0,0.0,0.0
40,8,1010,0.0,0.0,-0.0005620000000000624,-3.739479836895043e-07,0.0,0.0,0.0,0.0
40,10,101,0.0,0.0,-0.0006460000000000354,-2.8628742022362985e-05,0.0,0.0,0.0,0.0
