period_ms,metric,cooling_minus_control,ci95_low,ci95_high
40,mandatory_rejection_ratio,0.0,0.0,0.0
40,admitted_mandatory_violation_ratio,0.0,0.0,0.0
40,mean_voltage,-0.0006582500000000824,-0.0006765745978561412,-0.0006399254021440235
40,peak_modeled_temperature,-1.822858813742556e-05,-2.5451670205431053e-05,-1.1005506069420067e-05
40,total_iit_celsius_seconds,0.0,0.0,0.0
40,mean_complete_image_dice,0.0,0.0,0.0
40,pixel_defect_recall,0.0,0.0,0.0
40,image_complete_miss_rate,0.0,0.0,0.0
50,mandatory_rejection_ratio,0.0,0.0,0.0
50,admitted_mandatory_violation_ratio,0.0,0.0,0.0
50,mean_voltage,-0.0004091875000000689,-0.0004472086861370907,-0.0003711663138630471
50,peak_modeled_temperature,-3.851776565255705e-07,-1.0476940097664356e-06,2.773386967152946e-07
50,total_iit_celsius_seconds,0.0,0.0,0.0
50,mean_complete_image_dice,4.448297995227968e-05,-1.0605334812447133e-05,9.95712947170065e-05
50,pixel_defect_recall,1.663446752188059e-05,-1.071511152826906e-05,4.398404657203024e-05
50,image_complete_miss_rate,2.3958333333332084e-05,-7.664639756472293e-05,0.00012456306423138712
60,mandatory_rejection_ratio,0.0,0.0,0.0
60,admitted_mandatory_violation_ratio,0.0,0.0,0.0
60,mean_voltage,-0.0004028571428572686,-0.00041643767125937504,-0.0003892766144551622
60,peak_modeled_temperature,-0.0019317255067218043,-0.002470657953678886,-0.0013927930597647225
60,total_iit_celsius_seconds,0.0,0.0,0.0
60,mean_complete_image_dice,5.8799014997275995e-06,-1.0101367273240927e-05,2.1861170272696126e-05
60,pixel_defect_recall,-1.4963360276010543e-05,-2.505589829569556e-05,-4.870822256325527e-06
60,image_complete_miss_rate,1.250000000000695e-05,-1.6526324116977144e-05,4.152632411699105e-05
80,mandatory_rejection_ratio,0.0,0.0,0.0
80,admitted_mandatory_violation_ratio,0.0,0.0,0.0
80,mean_voltage,-0.0003675812500000819,-0.0003788472745499774,-0.0003563152254501864
80,peak_modeled_temperature,0.00012160421268561094,0.00011714578272152867,0.00012606264264969323
80,total_iit_celsius_seconds,0.0,0.0,0.0
80,mean_complete_image_dice,0.0,0.0,0.0
80,pixel_defect_recall,0.0,0.0,0.0
80,image_complete_miss_rate,0.0,0.0,0.0
100,mandatory_rejection_ratio,0.0,0.0,0.0
100,admitted_mandatory_violation_ratio,0.0,0.0,0.0
100,mean_voltage,-0.00024982500000025334,-0.0002967382209579101,-0.00020291177904259656
100,peak_modeled_temperature,-4.2541806263507453e-05,-0.00010318583983529497,1.8102227308280072e-05
100,total_iit_celsius_seconds,0.0,0.0,0.0
100,mean_complete_image_dice,-8.77324694636656e-05,-0.00018692177750661475,1.1456838579283548e-05
100,pixel_defect_recall,-1.8351827939066048e-05,-6.392466748650351e-05,2.7221011608371412e-05
100,image_complete_miss_rate,7.708333333334844e-05,-3.075932171184329e-05,0.00018492598837854015
150,mandatory_rejection_ratio,0.0,0.0,0.0
150,admitted_mandatory_violation_ratio,0.0,0.0,0.0
150,mean_voltage,-0.003916170658671591,-0.004411730865642243,-0.0034206104517009394
150,peak_modeled_temperature,4.753070054555053e-05,3.735733490766524e-05,5.770406618343582e-05
150,total_iit_celsius_seconds,0.0,0.0,0.0
150,mean_complete_image_dice,-0.003818218998964576,-0.004427962994811309,-0.003208475003117842
150,pixel_defect_recall,0.0009595797030389413,0.0006566579870472126,0.00126250141903067
150,image_complete_miss_rate,-0.0011749999999999961,-0.0017311296112972044,-0.0006188703887027879
200,mandatory_rejection_ratio,0.0,0.0,0.0
200,admitted_mandatory_violation_ratio,0.0,0.0,0.0
200,mean_voltage,-0.004086817020858039,-0.00448684127781927,-0.0036867927638968073
