period_ms,metric,mean,ci95_low,ci95_high
40,cooling_branch_rate,0.18016000000000001,0.17684710878686477,0.18347289121313526
40,cooling_locally_decreasing_rate,0.0040185685876200795,0.003306469020971015,0.004730668154269144
40,cooling_mean_planned_delta_c,0.003821764183955222,0.0035832175932452755,0.004060310774665169
50,cooling_branch_rate,0.171875,0.1655300568885884,0.1782199431114116
50,cooling_locally_decreasing_rate,0.0,0.0,0.0
50,cooling_mean_planned_delta_c,0.009260512392510065,0.008993482974614544,0.009527541810405585
60,cooling_branch_rate,0.19379999999999994,0.19149203751721108,0.1961079624827888
60,cooling_locally_decreasing_rate,1.6233766233765e-05,-2.0489564330209346e-05,5.295709679773935e-05
60,cooling_mean_planned_delta_c,0.005777246947137972,0.005375987317518434,0.00617850657675751
80,cooling_branch_rate,0.2443775,0.23986753976025044,0.24888746023974956
80,cooling_locally_decreasing_rate,0.00393461035485585,0.003441783371784436,0.0044274373379272645
80,cooling_mean_planned_delta_c,0.004748443160098662,0.004542098017578365,0.00495478830261896
100,cooling_branch_rate,0.2259328571428571,0.22175279218939253,0.23011292209632167
100,cooling_locally_decreasing_rate,0.002985650229537775,0.002286319063066715,0.003684981396008835
100,cooling_mean_planned_delta_c,0.004156938815491973,0.003953539541927029,0.004360338089056917
150,cooling_branch_rate,0.22835211358466675,0.22617837711060423,0.23052585005872928
150,cooling_locally_decreasing_rate,0.2374403547975533,0.234569289399048,0.24031142019605858
150,cooling_mean_planned_delta_c,-0.04648046487464285,-0.047035491833452396,-0.045925437915833305
200,cooling_branch_rate,0.20784988686919412,0.20546851947844058,0.21023125425994765
200,cooling_locally_decreasing_rate,0.41862732499634514,0.41656299204661124,0.42069165794607905
200,cooling_mean_planned_delta_c,-0.11602338168880555,-0.1171500011516148,-0.1148967622259963
300,cooling_branch_rate,0.2170405211311143,0.21457329070498624,0.21950775155724236
300,cooling_locally_decreasing_rate,0.7995478153976457,0.7957180185264706,0.8033776122688209
300,cooling_mean_planned_delta_c,-0.23558796523748704,-0.23700771194270717,-0.2341682185322669
500,cooling_branch_rate,0.21018543482650606,0.20824425165111007,0.21212661800190205
500,cooling_locally_decreasing_rate,0.9954601780164124,0.9945192247206358,0.996401131312189
500,cooling_mean_planned_delta_c,-0.31302981375317745,-0.3139772175519038,-0.31208240995445113
750,cooling_branch_rate,0.21170416666666667,0.20967528001698532,0.213733053316348
750,cooling_locally_decreasing_rate,0.9916138343658837,0.9901194742375654,0.993108194494202
750,cooling_mean_planned_delta_c,-0.31696562549586094,-0.31813856091635184,-0.31579269007537003
1000,cooling_branch_rate,0.2124375,0.21046022066304132,0.21441477933695868
1000,cooling_locally_decreasing_rate,0.9935678719364992,0.992558811841683,0.9945769320313154
1000,cooling_mean_planned_delta_c,-0.2642443549343689,-0.2659585691688108,-0.262530140699927
