configuration,mandatory_count,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,optional_region_on_time_coverage,defect_region_mandatory_coverage,defect_region_on_time_coverage,all_defect_regions_on_time_image_rate,any_defect_region_on_time_image_rate,defect_positive_regions,defective_images_for_coverage
HBTASP-Top1,1,16000,0,2104,0,0,13896,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,100,4,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.41462013365554384,3880,0.4415295231620432,0.5773967237691302,0.4226032762308698,0.122,0.026909389506499348,0.8246666666666667,0.31368631368631367,0.8831168831168831,0.776,0.93,8008,4000
HBTASP-Top1,1,16000,0,2072,0,0,13928,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,100,4,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.4167691518719085,3913,0.4390796005044689,0.5906608350888073,0.4093391649111927,0.116,0.02231044863256043,0.8273333333333334,0.31368631368631367,0.8971028971028971,0.8,0.942,8008,4000
HBTASP-Top1,1,16000,0,2080,0,0,13920,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,100,4,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.4182390780854688,3904,0.4428923937876278,0.5956685621417187,0.4043314378582813,0.118,0.024653315702159007,0.8266666666666667,0.31368631368631367,0.8901098901098901,0.792,0.94,8008,4000
HBTASP-Top1,1,16000,0,2104,0,0,13896,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,19660c8d7c38bf482c258d456033c0235b91bafa3f9150f8928502cb0b6a233e,100,4,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.42319756944830667,3920,0.44717345360778377,0.5958497763486158,0.4041502236513842,0.112,0.0239758841594771,0.8246666666666667,0.31368631368631367,0.8871128871128872,0.78,0.95,8008,4000
HBTASP-Top1,1,16000,0,2088,0,0,13912,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,73cdab68096cc443e0e24ada558429cabf1afc7f75cc16ce9d024a0d7cee62f9,100,4,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.41250968792559917,3880,0.4419857660686206,0.5812431055556888,0.4187568944443112,0.12,0.029476078143021445,0.826,0.31368631368631367,0.8771228771228772,0.768,0.934,8008,4000
HBTASP-Top1,1,16000,0,2064,0,0,13936,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7833957291a032d51d81862cac99e9d8ccb12f68b533b2caf53ee51ae3f9dc9c,100,4,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.4173614311483022,3904,0.4436000158983858,0.5809003976326839,0.41909960236731614,0.114,0.026238584750083616,0.828,0.31368631368631367,0.8841158841158842,0.778,0.95,8008,4000
HBTASP-Top1,1,16000,0,2080,0,0,13920,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7299403d9d2d4f4ccec9f76133c48d8d07e2ed601a2777f731db87ca14e66056,100,4,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.4162747384082268,3888,0.44401374589293113,0.5930815201815423,0.40691847981845775,0.128,0.027739007484704314,0.8266666666666667,0.31368631368631367,0.8801198801198801,0.77,0.93,8008,4000
HBTASP-Top1,1,16000,0,2112,0,0,13888,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,332b0fc25c5dccfb6fb5145b59221f17277c51b24f8c2d6148183eada1540c2c,100,4,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.421019822565301,3888,0.44673692698582623,0.6083791499887364,0.39162085001126357,0.12,0.025717104420525216,0.824,0.31368631368631367,0.8951048951048951,0.796,0.932,8008,4000
HBTASP-Top1,1,16000,0,2080,0,0,13920,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,3a15676bda67054cb5929717fc730bfa67cd49969827870cd1819db4b67b2b0f,100,4,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.42449812562503575,3896,0.4485177040355556,0.5912721599999868,0.40872784000001317,0.114,0.024019578410519826,0.8266666666666667,0.31368631368631367,0.8901098901098901,0.79,0.938,8008,4000
HBTASP-Top1,1,16000,0,2112,0,0,13888,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,f74ec5db6e908852b709fb2fc49501319e260c6bb970c5803f31b89af1514827,100,4,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,4000,4000,0.413572886096525,3880,0.4402725089394832,0.5995858099343632,0.40041419006563683,0.124,0.026699622842958237,0.824,0.31368631368631367,0.8881118881118881,0.79,0.934,8008,4000
