treatment,metric,mean,ci95_low,ci95_high
histogram_zero,mandatory_service_failure,0.0325,0.018473200768195086,0.046526799231804916
histogram_zero,mean_complete_image_dice,0.4067955920133139,0.39277202184995763,0.42081916217667015
histogram_zero,pixel_defect_recall,0.5301823397602626,0.508134266797295,0.5522304127232303
histogram_zero,image_complete_miss_rate,0.16884595833333332,0.1477766759165418,0.18991524075012484
multicue_zero,mandatory_service_failure,0.0325,0.018473200768195086,0.046526799231804916
multicue_zero,mean_complete_image_dice,0.44663909592818013,0.43706903907860817,0.4562091527777521
multicue_zero,pixel_defect_recall,0.5631376699413809,0.5471302126532197,0.5791451272295421
multicue_zero,image_complete_miss_rate,0.11653824999999998,0.1026116911279101,0.13046480887208986
multicue_host_cpu_p99,mandatory_service_failure,0.13041666666666665,0.09611770714073539,0.1647156261925979
multicue_host_cpu_p99,mean_complete_image_dice,0.38970997229831894,0.37185518663214506,0.4075647579644928
multicue_host_cpu_p99,pixel_defect_recall,0.47673730500961187,0.4505618719188619,0.5029127381003619
multicue_host_cpu_p99,image_complete_miss_rate,0.2191432083333333,0.18771357223803006,0.2505728444286366
