treatment,period_ms,mandatory_service_failure,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
histogram_zero,100,0.1625,0.27295300345509094,0.330260635787524,0.37373375
histogram_zero,150,0.0,0.3689115353201006,0.4685635330229818,0.2077379166666667
histogram_zero,200,0.0,0.43827527734251276,0.5853732205743009,0.111929375
histogram_zero,250,0.0,0.4697311498304176,0.6300090136930131,0.08004479166666664
histogram_zero,300,0.0,0.4841069941184476,0.6367052957234931,0.07078395833333333
multicue_host_cpu_p99,100,0.4645833333333333,0.22458468158958295,0.24839822047951055,0.5100833333333333
multicue_host_cpu_p99,150,0.1625,0.3484045356473228,0.4006711082727617,0.2845
multicue_host_cpu_p99,200,0.025,0.4224965824876806,0.5144963653507556,0.147225
multicue_host_cpu_p99,250,0.0,0.4684977425801467,0.5953958325022015,0.08509625
multicue_host_cpu_p99,300,0.0,0.48456631918686155,0.6247249984428299,0.06881145833333333
multicue_zero,100,0.1625,0.3507122830619888,0.41258077929623493,0.252951875
multicue_zero,150,0.0,0.4335198828759433,0.5308807471956583,0.12148416666666666
multicue_zero,200,0.0,0.47051435019597154,0.6129875214335839,0.07443854166666666
multicue_zero,250,0.0,0.48524484307764304,0.6266537152721195,0.068253125
multicue_zero,300,0.0,0.49320412042935446,0.6325855865093077,0.06556354166666666
