scenario,period_ms,lines,epochs,seed,overrun_probability,overrun_min_extra,overrun_max_extra,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,budget_mode,network_mode,overrun_count,overrun_rate_observed,iit_celsius_seconds,peak_temperature_c,mandatory_total,mandatory_missed,mandatory_dmr
nominal,100,4,1000,101,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999236815212,4000,0,0.0
nominal,100,4,1000,202,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999424525093,4000,0,0.0
nominal,100,4,1000,303,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999855966834,4000,0,0.0
nominal,100,4,1000,404,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99997010163274,4000,0,0.0
nominal,100,4,1000,505,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999988996096384,4000,0,0.0
nominal,100,4,1000,606,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999909729459,4000,0,0.0
nominal,100,4,1000,707,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99996225671746,4000,0,0.0
nominal,100,4,1000,808,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99997658647821,4000,0,0.0
nominal,100,4,1000,909,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99994295165466,4000,0,0.0
nominal,100,4,1000,1010,0.0,0.0,0.0,16000,0,2000,0,0,14000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99997442643853,4000,0,0.0
nominal,150,4,1000,101,0.0,0.0,0.0,16000,0,587,0,0,15413,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99994870671624,4000,0,0.0
nominal,150,4,1000,202,0.0,0.0,0.0,16000,0,675,0,0,15325,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99997334685676,4000,0,0.0
nominal,150,4,1000,303,0.0,0.0,0.0,16000,0,612,0,0,15388,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999521799262,4000,0,0.0
nominal,150,4,1000,404,0.0,0.0,0.0,16000,0,544,0,0,15456,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.9999530767594,4000,0,0.0
nominal,150,4,1000,505,0.0,0.0,0.0,16000,0,552,0,0,15448,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999981514867706,4000,0,0.0
nominal,150,4,1000,606,0.0,0.0,0.0,16000,0,656,0,0,15344,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999910134083606,4000,0,0.0
nominal,150,4,1000,707,0.0,0.0,0.0,16000,0,568,0,0,15432,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99993544635984,4000,0,0.0
nominal,150,4,1000,808,0.0,0.0,0.0,16000,0,711,0,0,15289,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99992872945439,4000,0,0.0
nominal,150,4,1000,909,0.0,0.0,0.0,16000,0,636,0,0,15364,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99997801529649,4000,0,0.0
nominal,150,4,1000,1010,0.0,0.0,0.0,16000,0,584,0,0,15416,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999934362086364,4000,0,0.0
nominal,200,4,1000,101,0.0,0.0,0.0,16000,0,88,0,0,15912,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99998721942367,4000,0,0.0
nominal,200,4,1000,202,0.0,0.0,0.0,16000,0,72,0,0,15928,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99994186340297,4000,0,0.0
nominal,200,4,1000,303,0.0,0.0,0.0,16000,0,88,0,0,15912,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999999207126365,4000,0,0.0
nominal,200,4,1000,404,0.0,0.0,0.0,16000,0,104,0,0,15896,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99997944403692,4000,0,0.0
nominal,200,4,1000,505,0.0,0.0,0.0,16000,0,64,0,0,15936,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99998930976578,4000,0,0.0
nominal,200,4,1000,606,0.0,0.0,0.0,16000,0,112,0,0,15888,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99998260322262,4000,0,0.0
nominal,200,4,1000,707,0.0,0.0,0.0,16000,0,104,0,0,15896,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99994618208159,4000,0,0.0
nominal,200,4,1000,808,0.0,0.0,0.0,16000,0,72,0,0,15928,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999884700787,4000,0,0.0
nominal,200,4,1000,909,0.0,0.0,0.0,16000,0,72,0,0,15928,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99999059130012,4000,0,0.0
nominal,200,4,1000,1010,0.0,0.0,0.0,16000,0,88,0,0,15912,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99998064522435,4000,0,0.0
nominal,250,4,1000,101,0.0,0.0,0.0,16000,0,56,0,0,15944,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999813085058065,4000,0,0.0
nominal,250,4,1000,202,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99947443308518,4000,0,0.0
nominal,250,4,1000,303,0.0,0.0,0.0,16000,0,16,0,0,15984,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99995657619775,4000,0,0.0
nominal,250,4,1000,404,0.0,0.0,0.0,16000,0,24,0,0,15976,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99957459394974,4000,0,0.0
nominal,250,4,1000,505,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99978006600176,4000,0,0.0
nominal,250,4,1000,606,0.0,0.0,0.0,16000,0,24,0,0,15976,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999972503501056,4000,0,0.0
nominal,250,4,1000,707,0.0,0.0,0.0,16000,0,32,0,0,15968,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99973302539882,4000,0,0.0
nominal,250,4,1000,808,0.0,0.0,0.0,16000,0,16,0,0,15984,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99936884991677,4000,0,0.0
nominal,250,4,1000,909,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99994523430672,4000,0,0.0
nominal,250,4,1000,1010,0.0,0.0,0.0,16000,0,24,0,0,15976,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99970639467735,4000,0,0.0
nominal,300,4,1000,101,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.99990913166363,4000,0,0.0
nominal,300,4,1000,202,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999979807732466,4000,0,0.0
nominal,300,4,1000,303,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.9995477061429,4000,0,0.0
nominal,300,4,1000,404,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999967214880456,4000,0,0.0
nominal,300,4,1000,505,0.0,0.0,0.0,16000,0,0,0,0,16000,0,0,assigned_level_sensitivity,dynamic,0,0.0,0.0,59.999465202049585,4000,0,0.0
