total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,pre_execution_rejections,pre_execution_rejection_ratio,admitted_deadline_violations,admitted_deadline_violation_ratio,fully_accepted_images,full_image_on_time_acceptance,peak_modeled_temperature,mean_voltage,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,hardware_input_gpu0,hardware_input_gpu1,simulation_host
16000,13000,0,0,0,3000,0,0,50,4,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99999286041484,0.8477266666666836,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.12933257705018444,4000,4000,0.10581712790551036,944,0.48445751014982985,0.10468378347568766,0.8953162165243124,0.794,0.3786403822443195,0.25295448303222656,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99993240921485,0.847560000000017,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.1322331613244358,4000,4000,0.1092994744849087,928,0.5232725559248048,0.12305990141320705,0.876940098586793,0.792,0.4139730814398961,0.27320194244384766,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.999834274475475,0.8474966666666836,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.13232831924223698,4000,4000,0.10007541528396574,928,0.4710799736266936,0.10016624559194484,0.8998337544080551,0.81,0.3710045583427279,0.2674131393432617,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99905856400839,0.8475333333333501,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.13072362596928508,4000,4000,0.10581942317487733,976,0.46896805863961993,0.11782162801656537,0.8821783719834346,0.8,0.36314863546474263,0.26061367988586426,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99998163271329,0.8474700000000169,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.13146615636874798,4000,4000,0.09923518093014913,936,0.46115786974536743,0.11046153696518421,0.8895384630348158,0.804,0.3619226888152183,0.26564764976501465,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.999817456434734,0.8476300000000168,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.12986628480019263,4000,4000,0.10815097950976214,960,0.48021809261483617,0.12002513012845066,0.8799748698715494,0.792,0.372067113105074,0.26172757148742676,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99991553573443,0.8475333333333502,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.13180169349363494,4000,4000,0.10833827873151708,976,0.4853686867830047,0.1092305826937259,0.8907694173062741,0.794,0.37703040805148763,0.26556968688964844,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.999876493506356,0.8474266666666838,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.1306468306500852,4000,4000,0.1088742698646363,936,0.4980821972214359,0.15183500300155348,0.8481649969984465,0.794,0.38920792735679954,0.26092982292175293,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99993095885448,0.8475866666666836,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.129835011362054,4000,4000,0.11373270200643816,968,0.5021121180911579,0.1356948631356726,0.8643051368643274,0.786,0.3883794160847197,0.2675919532775879,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
16000,13000,0,0,0,3000,0,0,50,4,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,13000,0.8125,0,0.0,0,0.0,59.99993204503278,0.847480000000017,0.6884000000000013,0.12907500000000025,0.12907500000000025,3000,0.12982164373978622,4000,4000,0.1062508595162849,976,0.47650736263062726,0.1323617910936906,0.8676382089063094,0.788,0.37025650311434233,0.25957822799682617,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
