period_ms,lines,delta_mandatory_dmr,delta_historical_coverage_adjusted_dice,delta_historical_weighted_coverage_utility,delta_historical_mandatory_effective_dice,delta_mean_complete_image_dice,delta_pixel_defect_recall,delta_image_complete_miss_rate
50,4,-0.5078,-0.0652524250000047,-0.010353464271129958,0.3495695200000007,-0.11280501700961758,-0.15401694857695536,0.15032500000000004
50,5,-0.4154,-0.05240469300000361,-0.00673205521810355,0.2859613600000006,-0.0870627067234707,-0.11634566818092008,0.11678
50,6,-0.3406666666666667,-0.043716382083336516,-0.006007011608106377,0.23451493333333379,-0.0744455063100651,-0.09966120869972167,0.09821666666666662
50,7,-0.2944285714285715,-0.03765829571428833,-0.004696010187732053,0.202684628571429,-0.06419167358319333,-0.08569345187977108,0.08374285714285723
50,8,-0.2539,-0.0326276862500023,-0.0036152657907700114,0.17478476000000037,-0.05909950300735457,-0.08220214784787834,0.07651249999999998
50,9,-0.2290000000000001,-0.029289021388890932,-0.0030696260239388706,0.15764360000000033,-0.051233778852245136,-0.0692149648343329,0.06643333333333346
50,10,-0.20860000000000012,-0.02646636325000186,-0.0024261937029009945,0.14360024000000032,-0.04814913511722172,-0.06983327468702531,0.06423000000000001
60,4,-0.2922,-0.049311098124991626,0.007201216780445496,0.20115048000000035,-0.07505647248087954,-0.11064150241373039,0.0963
60,5,-0.23939999999999995,-0.03869368999999348,0.009931393223069185,0.16480296000000033,-0.053288781838552596,-0.07996925334389049,0.04962
60,6,-0.19513333333333338,-0.03291526999999439,0.009523770585321195,0.1343297866666669,-0.048616956386525426,-0.07439424229808023,0.03551666666666664
60,7,-0.1678857142857143,-0.02783747964285238,0.010102514747515168,0.11557252571428595,-0.0424163250483878,-0.06921112985288783,0.02317142857142851
60,8,-0.1461,-0.02465542624999581,0.009554743352984257,0.10057524000000018,-0.03995422544347957,-0.07295719567532315,0.02158749999999998
60,9,-0.1305777777777778,-0.021650390555551943,0.009587433002473972,0.08988974222222246,-0.03550794226632231,-0.06052052534233496,0.01756666666666662
60,10,-0.11920000000000008,-0.01975598599999666,0.009362919428376415,0.08205728000000019,-0.0317471090315037,-0.06418273876362703,0.01721000000000006
70,4,-0.5108,-0.09576555562497724,-0.022451715095154035,0.35163472000000073,-0.12854238148071645,-0.20316134510150022,0.18149999999999994
70,5,-0.41340000000000005,-0.07466280399998221,-0.013707807696796415,0.2845845600000006,-0.09303422148033985,-0.14200136481457262,0.12153999999999998
70,6,-0.3410666666666667,-0.0634987949999849,-0.011209270678392252,0.2347902933333338,-0.08652390768093254,-0.1364051627928919,0.10793333333333333
70,7,-0.2925428571428573,-0.05386288392855862,-0.008087972643080477,0.20138650285714324,-0.07575231454307552,-0.12097806993110351,0.09162857142857139
70,8,-0.25540000000000007,-0.04788118124998855,-0.006865265133573467,0.1758173600000003,-0.06907284145505022,-0.11583786152481561,0.08228749999999985
70,9,-0.22753333333333325,-0.0418930266666567,-0.005080058959013173,0.1566339466666669,-0.0610268479911736,-0.10025484057797722,0.07121111111111111
70,10,-0.20620000000000016,-0.0383945272499909,-0.004736088337148725,0.14194808000000028,-0.05420544639749571,-0.09793419430894248,0.06310000000000004
80,4,-0.3402,-0.0492575149999846,0.012564432474603815,0.2341936800000004,-0.07483470378947937,-0.12103184572831088,0.08220000000000005
80,5,-0.4716,-0.09209236499997336,-0.026275714481856338,0.3246494400000006,-0.10556852056412999,-0.1812936411164114,0.14479999999999998
80,6,-0.3932,-0.07664052666664445,-0.020235146626417566,0.27067888000000057,-0.0947756229798034,-0.16564317937667752,0.12319999999999998
80,7,-0.3371142857142858,-0.06553447428569537,-0.016121368198278585,0.23206947428571478,-0.08149607323532132,-0.1445086878903304,0.1019714285714286
80,8,-0.29510000000000003,-0.0573975074999834,-0.013462868221831514,0.20314684000000038,-0.07398445288328682,-0.13819269305742288,0.08939999999999992
80,9,-0.26219999999999993,-0.050971257777762985,-0.011234522843913658,0.1804984800000004,-0.06453833219115103,-0.11799598435581912,0.07533333333333336
80,10,-0.23439999999999994,-0.04652395499998643,-0.009887885279052766,0.1613609600000003,-0.05922993194560364,-0.11858006531624372,0.07100000000000006
90,4,-0.3362,-0.043411309999988545,0.013028310075698823,0.2314400800000005,-0.07073264229837772,-0.08154691238933959,0.09304999999999997
90,5,-0.46820000000000006,-0.08987314899998433,-0.020818762221569476,0.32230888000000063,-0.11993949212002117,-0.16366510163862646,0.1601800000000001
90,6,-0.5566666666666666,-0.11926840624998325,-0.0571689245649486,0.3832093333333341,-0.13825550556029062,-0.2163168268085916,0.19711666666666672
90,7,-0.47557142857142864,-0.10249573749998553,-0.04903638900487098,0.32738337142857205,-0.1198776233105794,-0.1865570221509008,0.17148571428571424
90,8,-0.4181,-0.0894067428124875,-0.04204058841700098,0.2878200400000006,-0.10634806964896248,-0.17156531333819816,0.15165000000000006
90,9,-0.3698888888888889,-0.07971825194443322,-0.0375573100429239,0.2546315111111116,-0.0945630281915504,-0.1477060538055583,0.13544444444444448
90,10,-0.3356,-0.07102750949998987,-0.032497184596181866,0.23102704000000052,-0.08631608555549733,-0.14087453308595557,0.12401000000000018
