configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,scalar_quality_definition,mask_metric_status,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,101,edf_fixed_l3,4000,1456,0.364,0.6441000000001469,0.4025625000000918,0.40964759999998984,10000,0.4060177472542414,4000,4000,0.339900463558989,2776,0.518220001700091,0.4205269991034492,0.5794730008965507,0.366,0.17831953814110196,0.12023019790649414,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,202,edf_fixed_l3,4000,1448,0.362,0.6441000000001469,0.4025625000000918,0.4109357999999898,10000,0.40562360393432345,4000,4000,0.3394865300697277,2816,0.514811636857231,0.39619401534002785,0.6038059846599722,0.37,0.1753251067875033,0.12305903434753418,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,303,edf_fixed_l3,4000,1416,0.354,0.6441000000001469,0.4025625000000918,0.41608859999998965,10000,0.404700705988569,4000,4000,0.34013213073183624,2800,0.5186361958687886,0.39300593114882226,0.6069940688511777,0.376,0.17850406513695238,0.12193489074707031,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,404,edf_fixed_l3,4000,1432,0.358,0.6441000000001469,0.4025625000000918,0.4135121999999897,10000,0.4042890174753327,4000,4000,0.34915798966690964,2800,0.5331927358576122,0.3974896742521112,0.6025103257478888,0.366,0.18403474619070254,0.1088552474975586,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,505,edf_fixed_l3,4000,1440,0.36,0.6441000000001469,0.4025625000000918,0.41222399999998977,10000,0.40405352530188426,4000,4000,0.33675800633728425,2784,0.5097186276668539,0.40390590181330427,0.5960940981866958,0.364,0.17296062132956969,0.12126755714416504,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,606,edf_fixed_l3,4000,1464,0.366,0.6441000000001469,0.4025625000000918,0.4083593999999899,10000,0.40400101275811073,4000,4000,0.3450492347119576,2832,0.5150419035238174,0.38065435102440637,0.6193456489755936,0.356,0.16999266881185982,0.12178707122802734,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,707,edf_fixed_l3,4000,1408,0.352,0.6441000000001469,0.4025625000000918,0.4173767999999896,10000,0.405197395188177,4000,4000,0.34652863371769943,2808,0.5192812719946157,0.4260144471862177,0.5739855528137823,0.358,0.17275263827691628,0.12715482711791992,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,808,edf_fixed_l3,4000,1464,0.366,0.6441000000001469,0.4025625000000918,0.4083593999999899,10000,0.4008045609986729,4000,4000,0.33537717513323523,2784,0.5079716208346382,0.41322543072065887,0.5867745692793411,0.372,0.17259444570140298,0.1116950511932373,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,909,edf_fixed_l3,4000,1368,0.342,0.6441000000001469,0.4025625000000918,0.4238177999999894,10000,0.40434874639238455,4000,4000,0.34922726701449436,2816,0.5213664177302433,0.4133274744723707,0.5866725255276293,0.362,0.17213915071574892,0.12472772598266602,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
EDF-FixedL3,16000,10000,0,6000,0,0,100,4,1000,1010,edf_fixed_l3,4000,1432,0.358,0.6441000000001469,0.4025625000000918,0.4135121999999897,10000,0.4046350834302056,4000,4000,0.3397611507050946,2832,0.513330231116244,0.39950417287233625,0.6004958271276637,0.354,0.17356908041114938,0.12157630920410156,historical_image_averaged_path_dice,confusion_replay_zero_credit,,,,,,,,,,,,,
