contrast,metric,n,mean_difference,ci95_low,ci95_high,paired_t_p,wins,ties,losses
HBTASP-Dynamic - EDF-Dynamic-Reservation,mandatory_dmr,200,-0.180206125,-0.20385978726547452,-0.15655246273452547,1.3451352650813009e-34,0,40,160
HBTASP-Dynamic - EDF-Dynamic-Reservation,historical_completed_only_dice,200,0.007919451751535482,0.005681829730145417,0.010157073772925549,4.318574221287113e-11,118,0,82
HBTASP-Dynamic - EDF-Dynamic-Reservation,historical_coverage_adjusted_dice,200,-0.025859476709335652,-0.030480591067912247,-0.021238362350759057,2.130198056771408e-22,16,0,184
HBTASP-Dynamic - EDF-Dynamic-Reservation,historical_weighted_coverage_utility,200,0.016208749485088422,0.013490155980897981,0.018927342989278863,1.4114962416464381e-24,150,0,50
HBTASP-Dynamic - EDF-Dynamic-Reservation,historical_mandatory_effective_dice,200,0.12405389645000024,0.10777071534644755,0.14033707755355293,1.3451352650813197e-34,160,40,0
HBTASP-Dynamic - EDF-Dynamic-Reservation,mean_complete_image_dice,200,0.008788472696011091,0.0073453296410469476,0.010231615750975235,2.424799842131936e-25,155,0,45
HBTASP-Dynamic - EDF-Dynamic-Reservation,pixel_defect_recall,200,-0.013702926960096583,-0.01882109440383085,-0.008584759516362315,3.375891048224154e-07,83,0,117
HBTASP-Dynamic - EDF-Dynamic-Reservation,image_complete_miss_rate,200,-0.026991291666666674,-0.03269693889307346,-0.02128564444025989,2.1359211959922e-17,65,3,132
HBTASP-Dynamic - HBTASP-FixedL3,mandatory_dmr,200,0.0325,0.018473200768195086,0.046526799231804916,8.587064636381743e-06,20,180,0
HBTASP-Dynamic - HBTASP-FixedL3,historical_completed_only_dice,200,-0.001745838937844415,-0.004957819427202912,0.001466141551514083,0.2850915375677968,110,0,90
HBTASP-Dynamic - HBTASP-FixedL3,historical_coverage_adjusted_dice,200,0.01680089770506831,0.0109256005738883,0.022676194836248324,5.808486224638681e-08,120,0,80
HBTASP-Dynamic - HBTASP-FixedL3,historical_weighted_coverage_utility,200,0.013794746239161895,0.009164508428101296,0.018424984050222495,1.753430972605699e-08,140,0,60
HBTASP-Dynamic - HBTASP-FixedL3,historical_mandatory_effective_dice,200,0.02192699999995469,0.012270951408776888,0.03158304859113249,1.2686110995083247e-05,180,0,20
HBTASP-Dynamic - HBTASP-FixedL3,mean_complete_image_dice,200,-0.04300597661556117,-0.04546907499983671,-0.040542878231285634,9.19648672744655e-86,0,0,200
HBTASP-Dynamic - HBTASP-FixedL3,pixel_defect_recall,200,0.009222306097845015,0.0016123334989234985,0.016832278696766532,0.017792839726758648,75,0,125
HBTASP-Dynamic - HBTASP-FixedL3,image_complete_miss_rate,200,0.0076874166666666644,0.0003789047647303201,0.014995928568603009,0.03934843784307631,127,0,73
HBTASP-FixedL3 - EDF-FixedL3,mandatory_dmr,200,-0.25945166666666664,-0.29472951589748086,-0.22417381743585243,5.3577321382910164e-33,0,70,130
HBTASP-FixedL3 - EDF-FixedL3,historical_completed_only_dice,200,0.0,0.0,0.0,1.0,0,200,0
HBTASP-FixedL3 - EDF-FixedL3,historical_coverage_adjusted_dice,200,0.016871669459380387,0.014885516779452308,0.018857822139308467,7.167574362156047e-40,130,56,14
HBTASP-FixedL3 - EDF-FixedL3,historical_weighted_coverage_utility,200,0.06368632303517137,0.05634961335081244,0.0710230327195303,5.590095306181767e-41,130,56,14
HBTASP-FixedL3 - EDF-FixedL3,historical_mandatory_effective_dice,200,0.1671128185000467,0.14439035581047374,0.18983528118961965,5.357732138270745e-33,130,70,0
HBTASP-FixedL3 - EDF-FixedL3,mean_complete_image_dice,200,0.05249712208139108,0.04608286209971582,0.05891138206306634,5.176488711573455e-38,131,56,13
HBTASP-FixedL3 - EDF-FixedL3,pixel_defect_recall,200,0.040688547827087654,0.03573200659020448,0.04564508906397083,3.6823186635641934e-38,129,57,14
HBTASP-FixedL3 - EDF-FixedL3,image_complete_miss_rate,200,-0.13280145833333334,-0.1499887213119514,-0.11561419535471527,2.9781039296393977e-35,8,62,130
