method,period_ms,lines,seed,epochs,defective_region_stratum,images,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
EDF-Dynamic-Reservation,100,4,101,1000,1,1520,0.3605613847906876,0.5037348422242086,0.22631578947368422
EDF-Dynamic-Reservation,100,4,101,1000,3-4,1128,0.46843485312801747,0.6138768122919203,0.028368794326241134
EDF-Dynamic-Reservation,100,4,101,1000,2,1352,0.41512641004285383,0.5579660866186477,0.11242603550295859
EDF-Dynamic-Reservation,100,4,202,1000,3-4,1128,0.47882645768676074,0.5983453252541343,0.028368794326241134
EDF-Dynamic-Reservation,100,4,202,1000,2,1352,0.43945814206582484,0.5452498457649443,0.08875739644970414
EDF-Dynamic-Reservation,100,4,202,1000,1,1520,0.3573344440167351,0.47555495589698615,0.22631578947368422
EDF-Dynamic-Reservation,100,4,303,1000,2,1352,0.43435800388767976,0.5949263052432707,0.08875739644970414
EDF-Dynamic-Reservation,100,4,303,1000,3-4,1128,0.4651338486246159,0.6135733438331781,0.03546099290780142
EDF-Dynamic-Reservation,100,4,303,1000,1,1520,0.36130247189465986,0.5043030374580473,0.21578947368421053
EDF-Dynamic-Reservation,100,4,404,1000,3-4,1128,0.468721002685479,0.5936731299165954,0.03546099290780142
EDF-Dynamic-Reservation,100,4,404,1000,2,1352,0.4381052839950176,0.5967557899374135,0.07100591715976332
EDF-Dynamic-Reservation,100,4,404,1000,1,1520,0.3468259810835886,0.43722260637849325,0.24210526315789474
EDF-Dynamic-Reservation,100,4,505,1000,1,1520,0.357253691395817,0.4843519471101142,0.23684210526315788
EDF-Dynamic-Reservation,100,4,505,1000,3-4,1128,0.47656874390275444,0.6166724915675512,0.03546099290780142
EDF-Dynamic-Reservation,100,4,505,1000,2,1352,0.41052771657063575,0.5588051012812704,0.10059171597633136
EDF-Dynamic-Reservation,100,4,606,1000,2,1352,0.41477746375002655,0.5477948368744541,0.11242603550295859
EDF-Dynamic-Reservation,100,4,606,1000,1,1520,0.37102642008033754,0.519952102271769,0.20526315789473684
EDF-Dynamic-Reservation,100,4,606,1000,3-4,1128,0.4601451989069953,0.5878713954755338,0.0425531914893617
EDF-Dynamic-Reservation,100,4,707,1000,3-4,1128,0.4710903221967254,0.6017572797262174,0.03546099290780142
EDF-Dynamic-Reservation,100,4,707,1000,1,1520,0.3587788680458373,0.5008422579393857,0.22631578947368422
EDF-Dynamic-Reservation,100,4,707,1000,2,1352,0.42189308407079756,0.579372980782898,0.11242603550295859
EDF-Dynamic-Reservation,100,4,808,1000,3-4,1128,0.46680612136801186,0.5591299824242323,0.028368794326241134
EDF-Dynamic-Reservation,100,4,808,1000,1,1520,0.33789533633772306,0.47603359587135075,0.2736842105263158
EDF-Dynamic-Reservation,100,4,808,1000,2,1352,0.42194849742497675,0.5622903778060188,0.09467455621301775
EDF-Dynamic-Reservation,100,4,909,1000,1,1520,0.37489792556501744,0.5284353970957786,0.19473684210526315
EDF-Dynamic-Reservation,100,4,909,1000,2,1352,0.43207059053826463,0.5808685274240898,0.08875739644970414
EDF-Dynamic-Reservation,100,4,909,1000,3-4,1128,0.46460478738086225,0.5830281918374086,0.05673758865248227
EDF-Dynamic-Reservation,100,4,1010,1000,1,1520,0.34084276416545617,0.4866685780783566,0.25263157894736843
EDF-Dynamic-Reservation,100,4,1010,1000,3-4,1128,0.48859131960349633,0.600084208400067,0.02127659574468085
EDF-Dynamic-Reservation,100,4,1010,1000,2,1352,0.4458096004864863,0.6010437198159817,0.08284023668639054
EDF-Dynamic-Reservation,100,6,101,1000,1,2280,0.24863055079059504,0.3413125776510999,0.47543859649122805
EDF-Dynamic-Reservation,100,6,101,1000,3-4,1692,0.31365857002758846,0.3907255650415626,0.35224586288416077
EDF-Dynamic-Reservation,100,6,101,1000,2,2028,0.28259924685596005,0.3626713000790633,0.40433925049309666
EDF-Dynamic-Reservation,100,6,202,1000,3-4,1692,0.3182910183417845,0.3948126924476461,0.35224586288416077
EDF-Dynamic-Reservation,100,6,202,1000,2,2028,0.2897424622711067,0.3790583302506356,0.39447731755424065
EDF-Dynamic-Reservation,100,6,202,1000,1,2280,0.24251122192776337,0.32883049713569334,0.4824561403508772
EDF-Dynamic-Reservation,100,6,303,1000,2,2028,0.28471185525993004,0.38898717126947746,0.40039447731755423
EDF-Dynamic-Reservation,100,6,303,1000,3-4,1692,0.31932381694869233,0.4073379820549349,0.35224586288416077
EDF-Dynamic-Reservation,100,6,303,1000,1,2280,0.2408819051901938,0.3328080324265371,0.4807017543859649
EDF-Dynamic-Reservation,100,6,404,1000,3-4,1692,0.31060517158008544,0.396561630888482,0.35933806146572106
EDF-Dynamic-Reservation,100,6,404,1000,2,2028,0.2869983384970794,0.3725302732938007,0.388560157790927
EDF-Dynamic-Reservation,100,6,404,1000,1,2280,0.23527855076806087,0.32095705507676564,0.48771929824561405
EDF-Dynamic-Reservation,100,6,505,1000,1,2280,0.24293968548262013,0.34067832627797545,0.4824561403508772
EDF-Dynamic-Reservation,100,6,505,1000,3-4,1692,0.316181831466507,0.39979568004955285,0.35224586288416077
EDF-Dynamic-Reservation,100,6,505,1000,2,2028,0.28063510306195366,0.36131952084409524,0.398422090729783
EDF-Dynamic-Reservation,100,6,606,1000,2,2028,0.2838718937357159,0.3845044128905748,0.40039447731755423
EDF-Dynamic-Reservation,100,6,606,1000,1,2280,0.2440458584353141,0.3380491232804322,0.4807017543859649
EDF-Dynamic-Reservation,100,6,606,1000,3-4,1692,0.30713426616905193,0.378757089523514,0.3617021276595745
EDF-Dynamic-Reservation,100,6,707,1000,3-4,1692,0.31155906446288245,0.39468925189470894,0.35697399527186763
EDF-Dynamic-Reservation,100,6,707,1000,1,2280,0.2441088698077937,0.3440259951989836,0.47719298245614034
EDF-Dynamic-Reservation,100,6,707,1000,2,2028,0.2858973322553365,0.3635219343334797,0.39644970414201186
EDF-Dynamic-Reservation,100,6,808,1000,3-4,1692,0.3131810137039472,0.38364383765320637,0.3546099290780142
EDF-Dynamic-Reservation,100,6,808,1000,1,2280,0.23561561941677628,0.3219145598974584,0.49473684210526314
EDF-Dynamic-Reservation,100,6,808,1000,2,2028,0.2842610430158006,0.36292232332936564,0.39447731755424065
EDF-Dynamic-Reservation,100,6,909,1000,1,2280,0.2437386476713154,0.3452313089234817,0.4824561403508772
EDF-Dynamic-Reservation,100,6,909,1000,2,2028,0.2834516276719033,0.37579457723667875,0.39644970414201186
EDF-Dynamic-Reservation,100,6,909,1000,3-4,1692,0.31444321046703905,0.39110546967525645,0.35933806146572106
EDF-Dynamic-Reservation,100,6,1010,1000,1,2280,0.23911422559185408,0.33470797564636634,0.48596491228070177
EDF-Dynamic-Reservation,100,6,1010,1000,3-4,1692,0.3210889872706565,0.40051446007174984,0.3475177304964539
EDF-Dynamic-Reservation,100,6,1010,1000,2,2028,0.29172873217631706,0.38887017400038204,0.39250493096646943
EDF-Dynamic-Reservation,100,8,101,1000,1,3040,0.1802806923953437,0.2518674211121043,0.6131578947368421
EDF-Dynamic-Reservation,100,8,101,1000,3-4,2256,0.23421742656400854,0.30693840614596013,0.5141843971631206
