period_ms,lines,delta_mandatory_dmr,delta_historical_coverage_adjusted_dice,delta_historical_weighted_coverage_utility,delta_historical_mandatory_effective_dice,delta_mean_complete_image_dice,delta_pixel_defect_recall,delta_image_complete_miss_rate
50,4,-0.469,-0.06356835250000573,0.011227214181904921,0.32285960000000063,-0.01077663533456169,-0.06394617344585843,-0.04994999999999994
50,5,-0.36839999999999995,-0.0513196920000048,0.009903350277872647,0.2536065600000005,-0.0069462474923945305,-0.04781781497621465,-0.04157999999999995
50,6,-0.3103999999999999,-0.04254334166667059,0.008721010334238444,0.2136793600000004,-0.004487578409534121,-0.03771703014876328,-0.04008333333333336
50,7,-0.2642000000000001,-0.03608635678571763,0.00795917157915324,0.1818752800000004,-0.004064176908297884,-0.03519961887965785,-0.03602857142857152
50,8,-0.23450000000000004,-0.031785035937502856,0.00763129004205651,0.16142980000000035,-0.004740860912955114,-0.03440157140371401,-0.03436249999999996
50,9,-0.20548888888888894,-0.028062035555558196,0.006895146814352104,0.1414585511111114,-0.00242972839663598,-0.028587946735286404,-0.03333333333333344
50,10,-0.18320000000000014,-0.02566703400000238,0.006148976448305088,0.1261148800000003,-0.002529760031310793,-0.029768433218752555,-0.029289999999999927
60,4,-0.28700000000000003,-0.04776080499999236,0.032236102559764224,0.19757080000000038,0.03242875126528083,-0.018039521924198998,-0.11119999999999997
60,5,-0.22699999999999998,-0.03869472699999385,0.029984851969576953,0.15626680000000032,0.039669343247539346,0.00041628905120821846,-0.13337999999999994
60,6,-0.19033333333333335,-0.031819005833328196,0.027613433898690753,0.13102546666666692,0.03369649849809167,0.0018353938395632152,-0.12958333333333338
60,7,-0.16325714285714288,-0.027701101785709892,0.02549908910436338,0.11238621714285738,0.030450249984714906,-0.0003392842880164948,-0.12487142857142852
60,8,-0.14350000000000007,-0.023879542812496102,0.023945368741004558,0.09878540000000019,0.02660886633286473,-0.00842440666050609,-0.11495000000000011
60,9,-0.12697777777777786,-0.021545519722218825,0.022261058644301807,0.08741150222222238,0.02462222034981243,-0.002798159281650836,-0.1088555555555556
60,10,-0.11380000000000001,-0.019197231249997032,0.02124305252806713,0.0783399200000002,0.02342791677437793,-0.007558421490315159,-0.10259000000000007
70,4,-0.4986,-0.08408269437497867,0.018022122858346423,0.3432362400000007,0.007639164233121887,-0.0773247954941832,-0.086175
70,5,-0.3986,-0.06903586949998267,0.017892416961493574,0.2743962400000006,0.009517095760479516,-0.050848284432698176,-0.08704
70,6,-0.3317333333333334,-0.05714070583331887,0.015799265721512412,0.22836522666666711,0.006483360575381347,-0.043743747450451675,-0.07314999999999994
70,7,-0.2858857142857143,-0.04949300428570183,0.014678352675623174,0.19680372571428612,0.006624566409150018,-0.038372886355795444,-0.07394285714285731
70,8,-0.24930000000000008,-0.04203999624998933,0.014714486559362222,0.17161812000000032,0.007897337612209288,-0.041568876626878665,-0.07387499999999991
70,9,-0.22235555555555553,-0.03849423138887928,0.013066422316751286,0.1530695644444447,0.00781351348861481,-0.029890016581331197,-0.07123333333333326
70,10,-0.1976000000000001,-0.03466454774999127,0.013173381014140256,0.1360278400000003,0.00660436971110398,-0.036456783358395084,-0.06583000000000006
80,4,-0.3488,-0.04662813999998622,0.04398860987870795,0.24011392000000042,0.03233798900439999,-0.025663360630448995,-0.11599999999999999
80,5,-0.4824,-0.08929111499997477,0.009630652715354404,0.3320841600000006,0.016447750132708328,-0.07231674182708264,-0.11260000000000003
80,6,-0.40193333333333336,-0.07432167166664572,0.009989208710353248,0.2766909066666672,0.00944964096021153,-0.06490570583105312,-0.09166666666666684
80,7,-0.3445142857142858,-0.06383737928569636,0.009783078988236882,0.2371636342857148,0.009934637343964131,-0.05578930082449729,-0.08654285714285714
80,8,-0.2994000000000001,-0.05608281999998421,0.009136712020320098,0.2061069600000004,0.00966715054308559,-0.05819755043891592,-0.0828000000000001
80,9,-0.26795555555555545,-0.04965129499998597,0.009387130921655662,0.18446060444444481,0.009391365249508232,-0.04599580986851365,-0.08157777777777775
80,10,-0.24260000000000004,-0.04464662499998742,0.00961489017153569,0.16700584000000032,0.0051801893669283505,-0.05083400160451029,-0.06879999999999997
90,4,-0.30920000000000003,-0.046255166249989266,0.03246609551710311,0.21285328000000048,0.017840659578936546,-0.021539963646707405,-0.06292500000000004
90,5,-0.4438,-0.09209120549998451,0.007697647341460057,0.3055119200000006,0.013779812904077204,-0.05055753639677246,-0.09970000000000001
90,6,-0.537,-0.12077835749998347,-0.028004290041544755,0.36967080000000074,-0.014281273602079425,-0.1213282561758656,-0.07623333333333338
90,7,-0.46217142857142857,-0.10339777249998588,-0.02338995531564403,0.318158811428572,-0.01294056275059538,-0.10582073409163403,-0.06411428571428568
90,8,-0.40460000000000007,-0.09077107187498762,-0.01994249620698052,0.2785266400000006,-0.011855214325981939,-0.09985370414697398,-0.05676249999999994
90,9,-0.35946666666666666,-0.08042005305554456,-0.017493838163970765,0.24745685333333384,-0.010088377282924554,-0.08352307591409458,-0.05104444444444445
90,10,-0.3218,-0.07248248474999003,-0.014443894287494291,0.22152712000000044,-0.010931435513635818,-0.0803243721939514,-0.04380000000000006
