pool_index,image_id,tp,fp,fn,gt
0,55d87ed7a.jpg,4178,5517,10087,14265
1,17eeca349.jpg,2113,2706,0,2113
2,ab3fed191.jpg,2558,0,1773,4331
3,fdabe52ee.jpg,1024,4651,5216,6240
4,7c27b239d.jpg,6591,954,65,6656
5,624e942f6.jpg,49164,2828,5776,54940
6,8c732ade1.jpg,18008,3298,5820,23828
7,5a6a8196b.jpg,9453,2337,787,10240
8,0c2522533.jpg,24345,464,871,25216
9,9e39834da.jpg,41170,4035,6278,47448
10,70be92f18.jpg,9147,402,5524,14671
11,3124b1e5c.jpg,1806,667,1423,3229
12,fc113cb7e.jpg,1474,884,217,1691
13,5c876d114.jpg,110823,37382,2340,113163
14,9b2801e98.jpg,2882,1719,3402,6284
15,8f31ce4d8.jpg,12491,989,1444,13935
16,2511b27f5.jpg,0,2579,1857,1857
17,cd835f121.jpg,154,2370,6143,6297
18,8a88f573c.jpg,12963,4010,5032,17995
19,8445de2d9.jpg,3158,7080,669,3827
20,d806c4bd6.jpg,5546,1979,125,5671
21,60fb3a793.jpg,1018,4413,1427,2445
22,cc69501eb.jpg,21026,7261,7805,28831
23,db0547371.jpg,11212,3111,205,11417
24,00f6e702c.jpg,1027,4905,4308,5335
25,503d78c6f.jpg,4705,5103,3294,7999
26,a3148f47c.jpg,3391,4159,589,3980
27,683ad3cc1.jpg,2274,929,8458,10732
28,101bc8aa5.jpg,34542,3104,15899,50441
29,9c33cdef5.jpg,4595,294,1709,6304
30,a732b1b72.jpg,2703,2221,4933,7636
31,171c64a72.jpg,32090,4415,3131,35221
32,711d59ca6.jpg,3381,1647,5438,8819
33,6dfd81e89.jpg,1297,1226,1598,2895
34,ae9976755.jpg,36569,3682,1838,38407
35,5feafe9c5.jpg,31880,89,39202,71082
36,1b4642fd5.jpg,0,4082,3138,3138
37,d67f4b258.jpg,15706,13160,10,15716
38,c3429572b.jpg,89013,3521,21024,110037
39,6343860bc.jpg,121945,66795,34774,156719
40,a5f996baa.jpg,132948,25074,6312,139260
41,a8fcfff62.jpg,2464,348,16101,18565
42,7cb5bd6f1.jpg,19482,4291,3653,23135
43,9c4c38dab.jpg,18729,1489,30537,49266
44,9bba9fd75.jpg,1282,5784,9285,10567
45,bdd1c7fa8.jpg,23598,5010,9,23607
46,a369c5c1f.jpg,7533,559,11195,18728
47,1f7e9363d.jpg,46256,16614,3748,50004
48,86756300d.jpg,50184,3135,43268,93452
49,627b98bc7.jpg,17644,3446,15713,33357
50,faa1000af.jpg,1718,445,4250,5968
51,1d7f89efa.jpg,16679,2326,15361,32040
52,87ae117e9.jpg,1425,41,1626,3051
53,3afb8f1bc.jpg,5077,3637,1169,6246
54,594303084.jpg,14904,9663,1369,16273
55,0f4a022fd.jpg,39831,5310,0,39831
56,45b099b06.jpg,22418,902,532,22950
57,79d28bbe8.jpg,9128,894,1199,10327
58,ac0682b30.jpg,25740,6052,5726,31466
59,14c9a9062.jpg,6550,668,3082,9632
60,441866b3d.jpg,637,133,2415,3052
61,71e55c4e5.jpg,3630,2361,23794,27424
62,c0ceecd96.jpg,64809,3765,16395,81204
63,a8767436f.jpg,20,289,4844,4864
64,e3c8b3a70.jpg,16110,3918,5775,21885
65,55c30f544.jpg,91612,2497,20671,112283
66,cbc2172be.jpg,53160,6982,842,54002
67,8cc65d1f7.jpg,1879,653,166,2045
68,93b0d8e2f.jpg,988,664,3261,4249
69,193884988.jpg,18093,127,16611,34704
70,20905c068.jpg,33788,3342,4647,38435
71,b2854eaff.jpg,20746,3755,2682,23428
72,431234941.jpg,51497,4542,6113,57610
73,c2eb19445.jpg,6160,4720,361,6521
74,5350e17c2.jpg,9543,4255,57,9600
75,e036add44.jpg,5715,185,5758,11473
76,07c3d6d77.jpg,2211,6214,456,2667
77,0aa4399a4.jpg,0,4731,3538,3538
78,31a43a534.jpg,22041,1899,11174,33215
79,b8642bd0a.jpg,9276,4650,1316,10592
80,8fb4575f3.jpg,4855,1717,1775,6630
81,e2f3d138a.jpg,6522,1626,1555,8077
82,11f34f40d.jpg,8955,3422,1768,10723
83,21ef20784.jpg,3645,2335,740,4385
84,d6102d7d2.jpg,1877,585,391,2268
85,1d66a6fb4.jpg,11832,3808,18943,30775
86,8d67593de.jpg,4067,249,740,4807
87,99984eccf.jpg,865,2254,14,879
88,476efaa3d.jpg,85921,22629,8626,94547
89,0360edfb8.jpg,8956,296,9867,18823
90,a2cb5be8f.jpg,4677,697,110,4787
91,45b362a50.jpg,354,1596,5375,5729
92,c795455ba.jpg,2385,446,530,2915
93,fb9a07c8f.jpg,4728,3030,680,5408
94,7bde96c82.jpg,4187,2443,901,5088
95,aa9a7363b.jpg,16902,3322,799,17701
96,a0709a1e6.jpg,3000,812,234,3234
97,e51c76beb.jpg,1809,2031,1027,2836
98,fe7b99496.jpg,1568,318,478,2046
99,63cf275e8.jpg,231774,69422,464,232238
100,edfc18176.jpg,4771,2281,345,5116
101,86b7dbfe8.jpg,0,3117,2726,2726
102,bce9bf82d.jpg,20745,3622,1841,22586
103,a5ed4358c.jpg,0,0,1467,1467
104,7bec3eeb7.jpg,30404,2576,7418,37822
105,df0430717.jpg,5324,1368,465,5789
106,4e6514402.jpg,829,117,2106,2935
107,05396b495.jpg,20372,3082,4586,24958
108,9ad1ad629.jpg,30285,2222,6748,37033
109,98f108423.jpg,174881,3889,6495,181376
110,1d5eeb9bd.jpg,8906,2553,453,9359
111,ea2ebb194.jpg,17881,5052,10541,28422
112,9028ff68e.jpg,26629,8503,217,26846
113,638b05d55.jpg,1212,1461,3189,4401
114,c571c7c32.jpg,0,0,922,922
115,529b36067.jpg,9362,3736,387,9749
116,b69920a15.jpg,553,883,5174,5727
117,8266cca81.jpg,32465,30506,1645,34110
118,e1a9e7c49.jpg,23428,4210,11720,35148
119,4ab1aeab6.jpg,16325,5673,2,16327
120,29ff8d6f4.jpg,4071,4124,148,4219
121,f03379160.jpg,1049,1220,218,1267
122,9efbf2ac6.jpg,1079,570,230,1309
123,108ea689b.jpg,54363,12436,12078,66441
124,81c37d5f1.jpg,1988,6243,4167,6155
125,75070e973.jpg,27756,29547,1628,29384
126,bca9c5489.jpg,34986,6825,3208,38194
127,8ccb9bbc9.jpg,1110,1941,3018,4128
128,0ea00bf92.jpg,2172,4746,0,2172
129,29d83d9ce.jpg,26,7087,2919,2945
130,19c645c25.jpg,23920,6826,4281,28201
131,b0f9fff35.jpg,1943,1851,935,2878
132,09f1605ee.jpg,19405,26404,180,19585
133,4ee570810.jpg,43650,10729,3500,47150
134,0fd63823c.jpg,1088,1891,828,1916
135,208825e67.jpg,32909,11249,2084,34993
136,d267355be.jpg,24809,18689,2971,27780
137,380c01646.jpg,1296,868,4814,6110
138,7b8d4b6d4.jpg,6922,2979,1142,8064
139,b68b9258c.jpg,53180,24788,6903,60083
140,0ca915b9f.jpg,4794,848,889,5683
141,1639cc829.jpg,2374,3069,807,3181
142,1e742caeb.jpg,25567,7155,7725,33292
143,39960c9e9.jpg,36218,28172,69,36287
144,3d2df482c.jpg,0,5375,1913,1913
145,bd4957b80.jpg,15740,3734,5697,21437
146,892321605.jpg,1077,1032,1075,2152
147,43bb3a898.jpg,1739,2365,489,2228
148,252c10c1a.jpg,4003,485,967,4970
149,1dba99dc5.jpg,165368,8685,19502,184870
150,f22da130b.jpg,66826,24682,44771,111597
151,b8d2805f9.jpg,19537,1891,918,20455
152,397bdbbf6.jpg,1797,281,3803,5600
153,a33ec265a.jpg,13879,596,11479,25358
154,f81484e30.jpg,5548,4762,174,5722
155,dff1d028a.jpg,15626,5359,110,15736
156,bc73f75a5.jpg,5144,2251,52,5196
157,fe01b0ce0.jpg,14790,4106,1103,15893
158,4695c2d2a.jpg,7668,625,1135,8803
159,196e624f5.jpg,8715,1710,1165,9880
160,eed74bec9.jpg,0,6231,7232,7232
161,5c044192f.jpg,55401,5776,9288,64689
162,8c9286f4e.jpg,27490,784,24297,51787
163,f1becb8a5.jpg,47777,36770,1244,49021
164,db17c18f9.jpg,19154,5519,9008,28162
165,e0593f542.jpg,4226,1276,444,4670
166,bc23335bc.jpg,6956,0,6612,13568
167,43dac5ad5.jpg,11710,1539,4426,16136
168,82c806ebb.jpg,26121,3934,8491,34612
169,f46e63337.jpg,21786,839,4704,26490
170,5e581254c.jpg,14829,2171,7080,21909
171,3b9a3ae3b.jpg,26129,6432,14784,40913
172,7626234a2.jpg,10200,2378,4431,14631
173,e32bba07f.jpg,40559,6028,4020,44579
174,2f2053eff.jpg,1672,827,734,2406
175,0d9d2aa59.jpg,5385,2409,56,5441
176,700209a95.jpg,48095,11626,4953,53048
177,2f6b7235e.jpg,0,2762,3251,3251
178,088a6bb94.jpg,11519,223,1523,13042
179,fe65bce69.jpg,8669,1286,267,8936
180,a189ded53.jpg,0,0,2593,2593
181,6b634bbe9.jpg,4781,2228,8533,13314
182,846788254.jpg,2482,3432,5459,7941
183,cfe40128c.jpg,3792,1511,250,4042
184,01e020dc5.jpg,55836,5953,5840,61676
185,cb383b2f7.jpg,1484,991,1618,3102
186,a5fb2758e.jpg,10240,4392,175,10415
187,65bb052e9.jpg,23827,11275,1770,25597
188,bf3d21ec7.jpg,5110,943,4784,9894
189,54c3ce6f0.jpg,23689,2153,3951,27640
190,b001f0e9b.jpg,6732,4549,4519,11251
191,3704cdfd6.jpg,6701,7804,6658,13359
192,47aea9052.jpg,13180,3242,36373,49553
193,cbdb0828d.jpg,1718,2554,434,2152
194,539be6ba4.jpg,4884,495,620,5504
195,5891749fb.jpg,1542,2034,362,1904
196,dc46cd893.jpg,4134,585,200,4334
197,8ed31effd.jpg,3799,2339,1703,5502
198,32efbaf94.jpg,69315,22643,7144,76459
199,514222386.jpg,23170,3419,1388,24558
200,9612cf3ee.jpg,3771,367,46,3817
201,ff001adfe.jpg,5398,6233,8586,13984
202,90246e919.jpg,35730,13889,2527,38257
203,a909833f5.jpg,0,4409,2557,2557
204,b7fd1f63b.jpg,1091,3658,690,1781
205,4ade4b747.jpg,1229,620,6942,8171
206,316f0236a.jpg,3438,491,542,3980
207,9622959c1.jpg,302,1491,5248,5550
208,22bd428e0.jpg,3513,1497,1746,5259
209,9ebb54e56.jpg,64757,15073,4830,69587
210,cd7d4933e.jpg,24315,20551,115,24430
211,f97db2626.jpg,748,3807,1837,2585
212,57314986d.jpg,18476,7634,7593,26069
213,a835a0e50.jpg,7688,3327,2063,9751
214,f0dc068a8.jpg,23804,1716,4356,28160
215,a33d86440.jpg,3816,6172,1957,5773
216,548f2444a.jpg,4026,741,1856,5882
217,de15e1a31.jpg,2140,5612,14,2154
218,5e570da14.jpg,50436,1120,1932,52368
219,1a8440db2.jpg,337,1460,7344,7681
220,aa53582ee.jpg,4070,2367,7057,11127
221,d9ce68f4f.jpg,32718,14318,198,32916
222,da505edce.jpg,6218,2465,89,6307
223,cdf669a1f.jpg,18023,6455,1692,19715
224,5af757935.jpg,43354,17903,2135,45489
225,b6656880b.jpg,4266,1694,4826,9092
226,74472e481.jpg,9547,545,684,10231
227,d7221e8ce.jpg,357,84,6953,7310
228,e628d230c.jpg,4273,2134,45,4318
229,ecc0bf094.jpg,5312,140,2663,7975
230,5a188bcf6.jpg,25009,5972,10091,35100
231,9cfa7be25.jpg,19024,2560,515,19539
232,24e125a16.jpg,879,5338,0,879
233,b38f593fd.jpg,58705,37741,8231,66936
234,24fce7ae0.jpg,7651,1533,4656,12307
235,1fc4c5a4b.jpg,4054,10563,669,4723
236,f210c637e.jpg,943,139,96,1039
237,433ee3ba0.jpg,982,3269,0,982
238,66c487b25.jpg,4274,12290,2348,6622
239,8e8404fe0.jpg,126473,15142,5808,132281
240,6d5d698e0.jpg,5030,4218,594,5624
241,b3cea5fb4.jpg,78490,12696,1093,79583
242,8709ea899.jpg,19494,5334,237,19731
243,ea30f095d.jpg,1656,4037,5729,7385
244,dd1683e7b.jpg,12011,6287,0,12011
245,de964f1e4.jpg,11052,1710,1180,12232
246,4d6da5e7d.jpg,2526,1658,126,2652
247,9253b216e.jpg,28463,10921,4550,33013
248,4af0f0204.jpg,3028,206,1080,4108
249,3d0fc6499.jpg,7657,3401,2684,10341
250,335be17fa.jpg,7968,2332,922,8890
251,fe6f8e502.jpg,6282,544,2366,8648
252,8a3ce8312.jpg,5404,13301,1978,7382
253,eb18f69ed.jpg,4932,161,5943,10875
254,385f6dc61.jpg,4123,3484,14213,18336
255,434dc37a2.jpg,35,54,1115,1150
256,11c481d5e.jpg,209,3561,2071,2280
257,8016e642c.jpg,54083,10277,8596,62679
258,64c57880e.jpg,1255,3822,43,1298
259,02701c239.jpg,8223,4921,886,9109
260,61457b567.jpg,0,3179,2663,2663
261,534dacff6.jpg,645,1196,46,691
262,91b768bcb.jpg,17377,1022,5655,23032
263,c828ece4b.jpg,1874,2405,3767,5641
264,12234aab8.jpg,5700,3344,5911,11611
265,0d4866e3c.jpg,2633,1255,189,2822
266,f17e982f9.jpg,1102,1527,0,1102
267,4c18e968f.jpg,30592,2907,0,30592
268,7dc8d94dc.jpg,0,1699,2817,2817
269,fa6567637.jpg,31987,27338,322,32309
270,0498abd18.jpg,154925,14209,13206,168131
271,8f5e37d0a.jpg,36612,6289,20220,56832
272,e4911993d.jpg,7139,244,4598,11737
273,9531c4b99.jpg,4786,1183,629,5415
274,60d7ee261.jpg,43803,4515,13345,57148
275,0984c380f.jpg,11341,3845,518,11859
276,a997f247d.jpg,4681,3005,551,5232
277,f645abdf0.jpg,18166,2876,7622,25788
278,a27bd6af7.jpg,9042,461,355,9397
279,69e2943d2.jpg,14659,2007,317,14976
280,910ad3edf.jpg,68023,4250,1043,69066
281,de6c85c29.jpg,15917,3865,2475,18392
282,f22ad3b42.jpg,22654,12290,993,23647
283,09ee01161.jpg,14088,713,2068,16156
284,8ec0d428d.jpg,2167,1221,2577,4744
285,6a9ff4b0c.jpg,1977,3002,86,2063
286,1c61eaea9.jpg,5640,3256,725,6365
287,5ad48b934.jpg,3765,835,1796,5561
288,c63388081.jpg,761,41,15990,16751
289,d636cbd42.jpg,9450,2753,5185,14635
290,a629cce39.jpg,17542,2592,1461,19003
291,28adb8aeb.jpg,2286,5536,4470,6756
292,66574a641.jpg,2593,27,1518,4111
293,ff933e271.jpg,16646,2033,3767,20413
294,cbc2f9676.jpg,40881,4981,0,40881
295,addd390e9.jpg,13387,2036,5499,18886
296,817c6c7a8.jpg,16335,5093,4513,20848
297,55a585807.jpg,2235,3425,200,2435
298,a44dd8116.jpg,3398,2197,385,3783
299,0e0f06208.jpg,7186,3116,3125,10311
300,b682bfafd.jpg,8795,11971,242,9037
301,2d26b9dda.jpg,1141,2163,0,1141
302,2d94df675.jpg,3330,1974,9026,12356
